"","port_site","RptArea","Freq"
"1","ADAK","AFOGNAK",0
"2","AFOGNAK","AFOGNAK",10
"3","AFOGNAK BAY","AFOGNAK",1
"4","ALIKULA BAY","AFOGNAK",0
"5","AMOOK PASS","AFOGNAK",0
"6","ANCHOR POINT","AFOGNAK",7
"7","ANGOON","AFOGNAK",0
"8","ANTON LARSEN BAY","AFOGNAK",1
"9","APPLE ISLAND","AFOGNAK",0
"10","AUKE BAY","AFOGNAK",0
"11","BARANOF WILDERNESS LODGE","AFOGNAK",0
"12","BARTLETT COVE","AFOGNAK",0
"13","BAY OF PILLARS","AFOGNAK",0
"14","BLANK","AFOGNAK",0
"15","BROTHERS ISLANDS","AFOGNAK",0
"16","CANNERY COVE","AFOGNAK",0
"17","CEDARS LODGE","AFOGNAK",0
"18","CHAPIN BAY","AFOGNAK",0
"19","CHIGNIK BAY","AFOGNAK",0
"20","CHUM CHANNEL","AFOGNAK",0
"21","CHUM COVE","AFOGNAK",0
"22","CITY FLOAT","AFOGNAK",0
"23","CLOVER PASS","AFOGNAK",0
"24","COFFMAN COVE","AFOGNAK",0
"25","CORDOVA","AFOGNAK",0
"26","CRAIG","AFOGNAK",0
"27","CUBE COVE","AFOGNAK",0
"28","DEEP COVE","AFOGNAK",0
"29","DEEP CREEK","AFOGNAK",0
"30","DOVE ISLAND LODGE","AFOGNAK",0
"31","DUTCH HARBOR","AFOGNAK",0
"32","EGG HARBOR","AFOGNAK",0
"33","EL CAPITAN LODGE","AFOGNAK",0
"34","ELFIN COVE","AFOGNAK",0
"35","ELIZA HARBOR","AFOGNAK",0
"36","ELL COVE","AFOGNAK",0
"37","EXCURSION INLET","AFOGNAK",0
"38","EXPLORER BASIN","AFOGNAK",0
"39","FARRAGUT BAY","AFOGNAK",0
"40","FISHERMANS BEND","AFOGNAK",0
"41","FREDRICK SOUND","AFOGNAK",0
"42","GEDNEY HARBOR","AFOGNAK",0
"43","GEDNEYHARBOR","AFOGNAK",0
"44","GULL COVE","AFOGNAK",0
"45","GUSTAVUS","AFOGNAK",0
"46","GUT BAY","AFOGNAK",0
"47","HAINES","AFOGNAK",0
"48","HALIBUT COVE","AFOGNAK",0
"49","HAPPY VALLEY","AFOGNAK",0
"50","HOLKAM BAY","AFOGNAK",0
"51","HOMER","AFOGNAK",91
"52","HOONAH","AFOGNAK",0
"53","IRON CREEK","AFOGNAK",120
"54","JUNEAU","AFOGNAK",0
"55","KAKE","AFOGNAK",0
"56","KELP BAY","AFOGNAK",0
"57","KETCHIKAN","AFOGNAK",0
"58","KHAZ BAY","AFOGNAK",0
"59","KILIUDA BAY","AFOGNAK",0
"60","KILLISNOO","AFOGNAK",0
"61","KLAWOCK","AFOGNAK",0
"62","KNUDSON COVE","AFOGNAK",0
"63","Kodiak","AFOGNAK",0
"64","KODIAK","AFOGNAK",162
"65","LARSEN BAY","AFOGNAK",3
"66","LOUIS COVE","AFOGNAK",0
"67","LOUISE COVE","AFOGNAK",0
"68","LOWELL POINT","AFOGNAK",0
"69","METLAKATLA","AFOGNAK",0
"70","NAKALILOK BAY","AFOGNAK",0
"71","NARROWS INN","AFOGNAK",0
"72","NAUKATI","AFOGNAK",0
"73","NINILCHIK","AFOGNAK",0
"74","OLD HARBOR","AFOGNAK",0
"75","ORR ISLAND","AFOGNAK",0
"76","PARKS CANNERY","AFOGNAK",0
"77","PATTERSON BAY","AFOGNAK",0
"78","PAYNE ISLAND","AFOGNAK",0
"79","PELICAN","AFOGNAK",0
"80","PETERSBURG","AFOGNAK",0
"81","PINTA ROCKS","AFOGNAK",0
"82","POINT ASTLEY","AFOGNAK",0
"83","POINT ASTLY","AFOGNAK",0
"84","POINT BAKER","AFOGNAK",0
"85","PORT ALEXANDER","AFOGNAK",0
"86","PORT ASHTON","AFOGNAK",0
"87","PORT LIONS","AFOGNAK",28
"88","PORT MALMESBURY","AFOGNAK",0
"89","PORT MALMSBURY","AFOGNAK",0
"90","PORT MULMSBURY","AFOGNAK",0
"91","PORT PROTECTION","AFOGNAK",0
"92","PORT ST NICHOLAS","AFOGNAK",0
