"","port_site","RptArea","Freq"
"1","ADAK","AFOGNAK",0
"2","AFOGNAK","AFOGNAK",20
"3","AMOOK PASS","AFOGNAK",0
"4","ANCHOR POINT","AFOGNAK",1
"5","ANCHOR RIVER","AFOGNAK",3
"6","ANGOON","AFOGNAK",0
"7","ANTON LARSEN BAY","AFOGNAK",0
"8","APPLE ISLAND","AFOGNAK",0
"9","AUKE BAY","AFOGNAK",0
"10","BABE ISLANDS LODGE","AFOGNAK",0
"11","BARANOF","AFOGNAK",0
"12","BARTLETT COVE","AFOGNAK",0
"13","CANNERY COVE","AFOGNAK",0
"14","CEDARS LODGE","AFOGNAK",0
"15","CLOVER BAY","AFOGNAK",0
"16","CLOVER PASS","AFOGNAK",0
"17","COFFMAN COVE","AFOGNAK",0
"18","CORDOVA","AFOGNAK",0
"19","CRAIG","AFOGNAK",0
"20","DEEP CREEK","AFOGNAK",0
"21","DOUGLAS","AFOGNAK",0
"22","DOVE ISLAND LODGE","AFOGNAK",0
"23","EL CAPITAN LODGE","AFOGNAK",0
"24","ELFIN COVE","AFOGNAK",0
"25","FIREWEED LODGE","AFOGNAK",0
"26","FISHERMANS BEND","AFOGNAK",0
"27","GULL COVE","AFOGNAK",0
"28","GUSTAVUS","AFOGNAK",0
"29","HAINES","AFOGNAK",0
"30","HALIBUT COVE","AFOGNAK",0
"31","HAPPY VALLEY","AFOGNAK",0
"32","HOMER","AFOGNAK",143
"33","HOONAH","AFOGNAK",0
"34","ICY BAY LODGE","AFOGNAK",0
"35","IRON CREEK","AFOGNAK",134
"36","JUNEAU","AFOGNAK",0
"37","KAKE","AFOGNAK",0
"38","KELP BAY","AFOGNAK",0
"39","KETCHIKAN","AFOGNAK",0
"40","KHAZ BAY","AFOGNAK",0
"41","KILIUDA BAY","AFOGNAK",0
"42","KILLISNOO","AFOGNAK",0
"43","KLAWOCK","AFOGNAK",0
"44","KNUDSON COVE","AFOGNAK",0
"45","KODIAK","AFOGNAK",154
"46","LARSEN BAY","AFOGNAK",0
"47","LOWELL POINT","AFOGNAK",0
"48","MEYERS CHUCK","AFOGNAK",0
"49","MORNE ISLAND","AFOGNAK",0
"50","MOTHER SHIP","AFOGNAK",0
"51","MOTHERSHIP","AFOGNAK",0
"52","MOTHERSHIP- LISERON","AFOGNAK",0
"53","MOTHERSHIP-LISERON","AFOGNAK",0
"54","NAKALILOK BAY","AFOGNAK",0
"55","NARROWS INN","AFOGNAK",0
"56","NAUKATI","AFOGNAK",0
"57","NINILCHIK","AFOGNAK",0
"58","NORTH DOUGLAS","AFOGNAK",0
"59","OLD HARBOR","AFOGNAK",0
"60","ORCA POINT LODGE","AFOGNAK",0
"61","ORR ISLAND","AFOGNAK",0
"62","OTTER COVE","AFOGNAK",0
"63","PARKS CANNERY","AFOGNAK",0
"64","PELICAN","AFOGNAK",0
"65","PETERSBURG","AFOGNAK",0
"66","POINT BAKER","AFOGNAK",0
"67","PORT ALEXANDER","AFOGNAK",0
"68","PORT ASHTON","AFOGNAK",0
"69","PORT LIONS","AFOGNAK",54
"70","PORT PROTECTION","AFOGNAK",0
"71","PORT ST NICHOLAS","AFOGNAK",0
"72","PORT WAKEFIELD","AFOGNAK",60
"73","PYBUS BAY","AFOGNAK",0
"74","PYBUS POINT LODGE","AFOGNAK",0
"75","RASPBERRY ISLAND","AFOGNAK",17
"76","REFUGE COVE","AFOGNAK",0
"77","SALMON FALLS","AFOGNAK",0
"78","SALMON FALLS RESORT","AFOGNAK",0
"79","SALTERY COVE (SC)","AFOGNAK",0
"80","SEA OTTER SOUND","AFOGNAK",0
"81","SEAL BAY (SC)","AFOGNAK",69
"82","SEALING COVE","AFOGNAK",0
"83","SELDOVIA","AFOGNAK",0
"84","SEWARD","AFOGNAK",0
"85","SILVER KING LODGE","AFOGNAK",0
"86","SILVER SALMON","AFOGNAK",0
"87","SILVER SALMON CREEK","AFOGNAK",0
"88","SITKA","AFOGNAK",0
"89","SITKOH BAY","AFOGNAK",0
"90","SKAGWAY","AFOGNAK",0
"91","SPORTSMAN COVE","AFOGNAK",0
"92","ST HERMAN HARBOR","AFOGNAK",0
"93","STEAMBOAT BAY","AFOGNAK",0
"94","SUNNYSIDE","AFOGNAK",0
"95","TENAKEE","AFOGNAK",0
"96","THORNE BAY","AFOGNAK",0
"97","TUTKA BAY","AFOGNAK",0
"98","UGAK BAY","AFOGNAK",0
"99","UGANIK BAY","AFOGNAK",0
"100","UYAK BAY","AFOGNAK",0
"101","VALDEZ","AFOGNAK",0
"102","WADLEIGH ISLAND","AFOGNAK",0
"103","WARD COVE","AFOGNAK",0
"104","WARM SPRINGS BAY","AFOGNAK",0
"105","WATERFALL","AFOGNAK",0
"106","WATERFALL RESORT","AFOGNAK",0
"107","WHALE PASS (POW - SE)","AFOGNAK",0
"108","WHITTIER","AFOGNAK",0
"109","WRANGELL","AFOGNAK",0
"110","YAKUTAT","AFOGNAK",0
"111","ZACHAR BAY","AFOGNAK",0
"112","ADAK","BERING",0
"113","AFOGNAK","BERING",0
"114","AMOOK PASS","BERING",0
"115","ANCHOR POINT","BERING",0
"116","ANCHOR RIVER","BERING",0
"117","ANGOON","BERING",0
"118","ANTON LARSEN BAY","BERING",0
"119","APPLE ISLAND","BERING",0
"120","AUKE BAY","BERING",0
"121","BABE ISLANDS LODGE","BERING",0
"122","BARANOF","BERING",0
"123","BARTLETT COVE","BERING",0
"124","CANNERY COVE","BERING",0
"125","CEDARS LODGE","BERING",0
"126","CLOVER BAY","BERING",0
"127","CLOVER PASS","BERING",0
"128","COFFMAN COVE","BERING",0
"129","CORDOVA","BERING",0
"130","CRAIG","BERING",0
"131","DEEP CREEK","BERING",0
"132","DOUGLAS","BERING",0
"133","DOVE ISLAND LODGE","BERING",0
"134","EL CAPITAN LODGE","BERING",0
"135","ELFIN COVE","BERING",0
"136","FIREWEED LODGE","BERING",0
"137","FISHERMANS BEND","BERING",0
"138","GULL COVE","BERING",0
"139","GUSTAVUS","BERING",0
"140","HAINES","BERING",0
"141","HALIBUT COVE","BERING",0
"142","HAPPY VALLEY","BERING",0
"143","HOMER","BERING",0
"144","HOONAH","BERING",0
"145","ICY BAY LODGE","BERING",0
"146","IRON CREEK","BERING",0
"147","JUNEAU","BERING",0
"148","KAKE","BERING",0
"149","KELP BAY","BERING",0
"150","KETCHIKAN","BERING",0
"151","KHAZ BAY","BERING",0
"152","KILIUDA BAY","BERING",0
"153","KILLISNOO","BERING",0
"154","KLAWOCK","BERING",0
