Year,CFMU,Seward,Homer,Whittier,Valdez-Cordova
1998,NG,3732,495,NA,NA
1999,NG,7002,586,NA,NA
2000,NG,10915,1059,NA,NA
2001,NG,16953,1565,NA,NA
2002,NG,11660,1753,NA,NA
2003,NG,11182,3678,NA,NA
2004,NG,13663,3879,NA,NA
2005,NG,15468,4535,NA,NA
2006,NG,14227,2847,NA,NA
2007,NG,15564,4942,NA,NA
2008,NG,19373,4557,NA,NA
2009,NG,13587,6271,NA,NA
2010,NG,16722,8314,NA,NA
2011,NG,17887,9657,NA,NA
2012,NG,17508,7855,NA,NA
2013,NG,17941,8054,NA,NA
2014,NG,22647,10039,NA,NA
2015,NG,29781,12283,NA,NA
2016,NG,40409,13081,NA,NA
2017,NG,19189,14856,NA,NA
2018,NG,29387,14652,NA,NA
2019,NG,36544,14200,NA,NA
2020,NG,22851,15721,NA,NA
2021,NG,41844,33015,NA,NA
2022,NG,43879,33340,NA,NA
1998,PWSI,947,NA,702,1672
1999,PWSI,2108,NA,665,1062
2000,PWSI,2136,NA,1564,1624
2001,PWSI,2010,NA,1856,1759
2002,PWSI,2736,NA,1166,1323
2003,PWSI,7400,NA,1122,1528
2004,PWSI,5911,NA,1369,1648
2005,PWSI,4418,NA,1287,2424
2006,PWSI,4334,NA,1506,1475
2007,PWSI,8528,NA,1544,1810
2008,PWSI,5234,NA,2460,1373
2009,PWSI,5490,NA,1687,751
2010,PWSI,8335,NA,1557,1205
2011,PWSI,8486,NA,1538,717
2012,PWSI,9649,NA,2478,1024
2013,PWSI,9859,NA,2794,1267
2014,PWSI,10063,NA,3206,1271
2015,PWSI,14711,NA,3343,1645
2016,PWSI,21849,NA,5350,1410
2017,PWSI,11176,NA,3686,728
2018,PWSI,7676,NA,2788,1077
2019,PWSI,7839,NA,4141,859
2020,PWSI,4601,NA,2889,944
2021,PWSI,8036,NA,4607,1356
2022,PWSI,11379,NA,6469,1804
1998,PWSO,4563,NA,3,1582
1999,PWSO,3028,NA,109,994
2000,PWSO,7122,NA,189,1461
2001,PWSO,8541,NA,178,1893
2002,PWSO,6019,NA,61,1884
2003,PWSO,6478,NA,73,2349
2004,PWSO,8195,NA,200,2931
2005,PWSO,6288,NA,94,2567
2006,PWSO,6842,NA,88,2176
2007,PWSO,8428,NA,60,3783
2008,PWSO,10238,NA,35,3004
2009,PWSO,9851,NA,327,3460
2010,PWSO,8843,NA,182,3748
2011,PWSO,11643,NA,228,3525
2012,PWSO,13844,NA,187,2344
2013,PWSO,16121,NA,483,2719
2014,PWSO,16623,NA,1014,3299
2015,PWSO,18599,NA,1041,4096
2016,PWSO,21685,NA,1595,5445
2017,PWSO,20487,NA,1216,6117
2018,PWSO,20535,NA,4588,1437
2019,PWSO,23011,NA,1901,7732
2020,PWSO,19806,NA,1632,7495
2021,PWSO,27130,NA,1736,9091
2022,PWSO,25182,NA,1777,9006
