"Region","year","RptArea","Log_rfrel","guiSWHS_rfrel","var_guiSWHS_rfrel","privSWHS_rfrel","var_privSWHS_rfrel","SWHS_gprop","var_SWHS_gprop"
"SC",2022,"AFOGNAK",NA,3696,9069148,1493,2665322,0.712275968394681,0.0781040219924634
"SC",2022,"BSAI",NA,0,0,147,49976.24,0,0
"SC",2022,"CI",NA,2269,4841792,4099,5481699,0.356312814070352,0.0666330530216913
"SE",2022,"CSEO",NA,15988,47395254,8652,17815296,0.648863636363636,0.021979406212704
"SC",2022,"EASTSIDE",NA,1520,2097313,1493,2665322,0.964467005076142,0.0167977679076543
"SE",2022,"EWYKT",NA,1420,4720302,477,1843372,0.748550342646284,0.369960293600411
"SC",2022,"NG",NA,11590,31928883,13176,30013520,0.467980295566502,0.0254509109348496
"SC",2022,"NORTHEAST",NA,4128,6544017,3830,4259975,0.518723297310882,0.0420342742808592
"SE",2022,"NSEI",NA,7037,19591729,19670,162208013,0.263488972928446,0.0306885433746305
"SE",2022,"NSEO",NA,4604,9871879,2692,8197300,0.631030701754386,0.0865670512854177
"SC",2022,"PWSI",NA,3646,6386272,11320,17816350,0.243618869437391,0.0210333256910029
"SC",2022,"PWSO",NA,2453,5006526,1969,6322379,0.554726368159204,0.150258528969547
"SC",2022,"SOKO2SAP",NA,0,40945.07,46,140832.44,0,19.3502221172023
"SE",2022,"SSEI",NA,14675,23961598,30843,35141030,0.322399929698141,0.00707296397432445
"SE",2022,"SSEO",NA,5243,14997147,3531,4614762,0.597560975609756,0.0529561927802693
"SC",2022,"WKMA",NA,1967,7449702.1,1493,2665322,1,0.123077086104765
"SC",2022,"SKMA",NA,1967,7449702.1,1493,2665322,0.56849710982659,0.187819341831841
