"Region","year","RptArea","Log_rfharv","guiSWHS_rfharv","var_guiSWHS_rfharv","privSWHS_rfharv","var_privSWHS_rfharv","SWHS_gprop","var_SWHS_gprop","TOTAL_rfharv","var_TOTAL_rfharv","sd_Rfharv","RFharv_UPRLWR95","PRIV_rfharv","var_PRIV_rfharv","sd_PRIV_rfharv","privrfharv_UPERLWR95"
"SC",2023,"AFOGNAK",11425,5347,1551582.2,777,200526.1,0.873122142390594,0.00474215652701719,13085.225360015,1065094.87280733,1032.03433702921,2022.78730057726,1660.22536001497,1065094.87280733,1032.03433702921,2022.78730057726
"SC",2023,"BSAI",NA,116,13267.09,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"SC",2023,"CI",11260,9623,1487280.4,4363,742654.3,0.688045188045188,0.00253728133536397,16365.204198275,1435415.25760218,1198.08816770811,2348.2528087079,5105.20419827497,1435415.25760218,1198.08816770811,2348.2528087079
"SE",2023,"CSEO",51033,55531,16494045,10234,4023223,0.844385311335817,0.000755582878237495,60438.048027228,3870986.23769378,1967.48220771975,3856.26512713071,9405.04802722803,3870986.23769378,1967.48220771975,3856.26512713071
"SC",2023,"EASTSIDE",2230,2654,849301.3171,13,170.6915,0.995125609298838,2.6601097384131e-05,2240.92313489073,134.895563868769,11.6144549535813,22.7643317090193,10.9231348907301,134.895563868769,11.6144549535813,22.7643317090193
"SE",2023,"EWYKT",6906,5921,1401486,3700,1802399,0.61542459203825,0.00961426425866779,11221.5210268536,3196463.99802434,1787.86576622081,3504.21690179279,4315.52102685357,3196463.99802434,1787.86576622081,3504.21690179279
"SC",2023,"NG",64944,47399,7952612,14128,3455772,0.770377232759601,0.000652543338570282,84301.5567417035,7814004.74749447,2795.3541363295,5478.89410720583,19357.5567417035,7814004.74749447,2795.3541363295,5478.89410720583
"SC",2023,"NORTHEAST",10167,9226,2230717,4136,1161459,0.69046549917677,0.00429837843966402,14724.8486884891,1954890.1793157,1398.1738730629,2740.42079120328,4557.84868848905,1954890.1793157,1398.1738730629,2740.42079120328
"SE",2023,"NSEI",31783,23213,10138732,11033,3823141,0.677830987560591,0.00239505140621673,46889.2697195537,11460905.6924948,3385.39594323837,6635.37604874721,15106.2697195537,11460905.6924948,3385.39594323837,6635.37604874721
"SE",2023,"NSEO",14337,9343,3392389,12232,14934442,0.433047508690614,0.00835929757748217,33107.2219843733,48858955.4862636,6989.9181315852,13700.239537907,18770.2219843733,48858955.4862636,6989.9181315852,13700.239537907
"SC",2023,"PWSI",17019,11631,2181980,14065,2752274,0.452638542963885,0.00184408654577555,37599.5377869487,12724573.8721693,3567.15206742988,6991.61805216257,20580.5377869487,12724573.8721693,3567.15206742988,6991.61805216257
"SC",2023,"PWSO",25617,7085,853804.6,1074,157175.3,0.868366221350656,0.00200263313749076,29500.2262526464,2311246.4062183,1520.27839760298,2979.74565930185,3883.22625264643,2311246.4062183,1520.27839760298,2979.74565930185
"SC",2023,"SOKO2SAP",NA,353,30902.07,242,26107.48,0.59327731092437,0.0403959651518508,NA,NA,NA,NA,NA,NA,NA,NA
"SE",2023,"SSEI",44574,34423,10805290,20688,10362911,0.624612146395456,0.00183247311170119,71362.6852395201,23919887.1687195,4890.79616920594,9585.96049164365,26788.6852395201,23919887.1687195,4890.79616920594,9585.96049164365
"SE",2023,"SSEO",41560,14709,5120146,4231,1827749,0.776610348468849,0.003785279078332,53514.6101026582,17973650.3518437,4239.5342140197,8309.48705947862,11954.6101026582,17973650.3518437,4239.5342140197,8309.48705947862
"SC",2023,"WKMA",NA,5931,2134170.91,257,24365.99,0.95846800258565,0.000680710724842109,NA,NA,NA,NA,NA,NA,NA,NA
