"Region","year","RptArea","Log_rfrel","guiSWHS_rfrel","var_guiSWHS_rfrel","privSWHS_rfrel","var_privSWHS_rfrel","SWHS_gprop","var_SWHS_gprop","TOTAL_rfrel","var_TOTAL_rfrel","sd_Rfrel","RFrel_UPRLWR95","PRIV_rfrel","var_PRIV_rfrel","sd_PRIV_rfrel","privrfrel_UPERLWR95"
"SC",2023,"AFOGNAK",761,709,3541528.8,467,722976.6,0.602891156462585,0.59384170451833,1262.25105782793,2603061.05045785,1613.4004618996,3162.26490532322,501.251057827927,2603061.05045785,1613.4004618996,3162.26490532322
"SC",2023,"BSAI",NA,145,48613.2863,24,573.6014,0.857988165680473,0.0491108417428354,NA,NA,NA,NA,NA,NA,NA,NA
"SC",2023,"CI",356,1573,3357496,3949,3434710,0.284860557768924,0.0654527469549653,1249.73426573427,1259791.26462314,1122.40423405436,2199.91229874654,893.734265734267,1259791.26462314,1122.40423405436,2199.91229874654
"SE",2023,"CSEO",9726,16497,49158794,12873,19094865,0.561695607763024,0.0179323616375218,17315.4282596836,17041268.0429465,4128.10707745651,8091.08987181475,7589.42825968357,17041268.0429465,4128.10707745651,8091.08987181475
"SC",2023,"EASTSIDE",225,1208,2938767.128,52,4486.618,0.958730158730159,0.00575034212745147,234.685430463576,344.566589411021,18.5625049336295,36.3825096699139,9.6854304635761,344.566589411021,18.5625049336295,36.3825096699139
"SE",2023,"EWYKT",NA,2818,5790697,203,3657367,0.932803707381662,0.351561493847127,NA,NA,NA,NA,NA,NA,NA,NA
"SC",2023,"NG",2176,10354,19556183,8533,15355151,0.548207761952666,0.0241266942743283,3969.29804906316,1264837.93290096,1124.65013799891,2204.31427047786,1793.29804906316,1264837.93290096,1124.65013799891,2204.31427047786
"SC",2023,"NORTHEAST",624,4840,7778996,3699,8254428,0.566811102002576,0.0563905357747512,1100.8958677686,212726.702410435,461.223050606141,903.997179188037,476.895867768596,212726.702410435,461.223050606141,903.997179188037
"SE",2023,"NSEI",4303,7578,26026250,10720,17224130,0.414143622253798,0.0355033716496949,10390.1153338612,22346441.7684419,4727.20231938954,9265.3165460035,6087.11533386118,22346441.7684419,4727.20231938954,9265.3165460035
"SE",2023,"NSEO",2146,3042,9497738,7766,68724948,0.281458179126573,0.0885861845222799,7624.57856673241,65008468.841042,8062.78294641757,15803.0545749784,5478.57856673241,65008468.841042,8062.78294641757,15803.0545749784
"SC",2023,"PWSI",838,4336,6406694,11300,12020237,0.277308774622666,0.0174672137588291,3021.90221402214,2074231.49957228,1440.21925399304,2822.82973782636,2183.90221402214,2074231.49957228,1440.21925399304,2822.82973782636
"SC",2023,"PWSO",1455,733,1879815,1283,1294139,0.36359126984127,0.229424196198943,4001.74624829468,27791463.5400182,5271.76095247292,10332.6514668469,2546.74624829468,27791463.5400182,5271.76095247292,10332.6514668469
"SC",2023,"SOKO2SAP",NA,0,61804.13,1360,1215734.65,0,0.0334148626730104,NA,NA,NA,NA,NA,NA,NA,NA
"SE",2023,"SSEI",14863,25265,61221207,30426,75283214,0.45366396724785,0.0108875520680225,32762.134692262,56781394.6365571,7535.34303376808,14769.2723461854,17899.134692262,56781394.6365571,7535.34303376808,14769.2723461854
"SE",2023,"SSEO",1289,6089,15607861,3713,6836286,0.62119975515201,0.050766601129684,2075.01691574971,566446.397573715,752.626333298082,1475.14761326424,786.016915749712,566446.397573715,752.626333298082,1475.14761326424
"SC",2023,"WKMA",NA,4686,12626967,1026,1238794,0.820378151260504,0.0380400350828601,NA,NA,NA,NA,NA,NA,NA,NA
