"port_site","RptArea","region","N_obs","total_rfharv","total_prockkept","total_yrockkept","total_orockkept"
"CORDOVA","PWSI","SC",167,1261,962,126,173
"CORDOVA","PWSO","SC",15,167,127,36,4
"HOMER","NG","SC",1824,22711,19505,2076,1130
"SEWARD","NG","SC",2277,34179,29656,1883,2640
"SEWARD","PWSI","SC",471,7853,6914,235,704
"SEWARD","PWSO","SC",1060,17918,15459,1175,1284
"VALDEZ","PWSI","SC",408,1208,747,151,310
"VALDEZ","PWSO","SC",429,5738,4625,811,302
"WHITTIER","PWSI","SC",731,6141,4682,306,1153
"WHITTIER","PWSO","SC",108,1286,1098,90,98
