"RptArea","year","N_obs","rclient_sum","nclient_sum"
"AFOGNAK",2024,531,266,2947
"BERING",2024,1,0,4
"CI",2024,1205,995,5719
"CSEO",2024,6119,261,27289
"EASTSIDE",2024,196,48,879
"EYKT",2024,85,5,326
"IBS",2024,417,76,1870
"MAINLAND",2024,23,0,116
"NG",2024,3822,4727,22355
"NORTHEAST",2024,613,285,2774
"NSEI",2024,2976,196,12030
"NSEO",2024,1279,45,5016
"PWSI",2024,1164,2025,4794
"PWSO",2024,1478,3100,8056
"SOUTHEAST",2024,41,27,176
"SSEI",2024,4586,424,19160
"SSEO",2024,3190,218,11538
"WESTSIDE",2024,706,52,2867
"ZZZZ",2024,24,10,98
