"","Year","CFMU","Seward","Homer","Whittier","Valdez.Cordova","orig"
"1",1998,"NG",3732,495,NA,NA,"orig"
"2",1998,"PWSI",947,NA,702,1672,"orig"
"3",1998,"PWSO",4563,NA,3,1582,"orig"
"4",1999,"NG",7002,586,NA,NA,"orig"
"5",1999,"PWSI",2108,NA,665,1062,"orig"
"6",1999,"PWSO",3028,NA,109,994,"orig"
"7",2000,"NG",10915,1059,NA,NA,"orig"
"8",2000,"PWSI",2136,NA,1564,1624,"orig"
"9",2000,"PWSO",7122,NA,189,1461,"orig"
"10",2001,"NG",16953,1565,NA,NA,"orig"
"11",2001,"PWSI",2010,NA,1856,1759,"orig"
"12",2001,"PWSO",8541,NA,178,1893,"orig"
"13",2002,"NG",11660,1753,NA,NA,"orig"
"14",2002,"PWSI",2736,NA,1166,1323,"orig"
"15",2002,"PWSO",6019,NA,61,1884,"orig"
"16",2003,"NG",11182,3678,NA,NA,"orig"
"17",2003,"PWSI",7400,NA,1122,1528,"orig"
"18",2003,"PWSO",6478,NA,73,2349,"orig"
"19",2004,"NG",13663,3879,NA,NA,"orig"
"20",2004,"PWSI",5911,NA,1369,1648,"orig"
"21",2004,"PWSO",8195,NA,200,2931,"orig"
"22",2005,"NG",15468,4535,NA,NA,"orig"
"23",2005,"PWSI",4418,NA,1287,2424,"orig"
"24",2005,"PWSO",6288,NA,94,2567,"orig"
"25",2006,"NG",14227,2847,NA,NA,"orig"
"26",2006,"PWSI",4334,NA,1506,1475,"orig"
"27",2006,"PWSO",6842,NA,88,2176,"orig"
"28",2007,"NG",15564,4942,NA,NA,"orig"
"29",2007,"PWSI",8528,NA,1544,1810,"orig"
"30",2007,"PWSO",8428,NA,60,3783,"orig"
"31",2008,"NG",19373,4557,NA,NA,"orig"
"32",2008,"PWSI",5234,NA,2460,1373,"orig"
"33",2008,"PWSO",10238,NA,35,3004,"orig"
"34",2009,"NG",13587,6271,NA,NA,"orig"
"35",2009,"PWSI",5490,NA,1687,751,"orig"
"36",2009,"PWSO",9851,NA,327,3460,"orig"
"37",2010,"NG",16722,8314,NA,NA,"orig"
"38",2010,"PWSI",8335,NA,1557,1205,"orig"
"39",2010,"PWSO",8843,NA,182,3748,"orig"
"40",2011,"NG",17887,9657,NA,NA,"orig"
"41",2011,"PWSI",8486,NA,1538,717,"orig"
"42",2011,"PWSO",11643,NA,228,3525,"orig"
"43",2012,"NG",17508,7855,NA,NA,"orig"
"44",2012,"PWSI",9649,NA,2478,1024,"orig"
"45",2012,"PWSO",13844,NA,187,2344,"orig"
"46",2013,"NG",17941,8054,NA,NA,"orig"
"47",2013,"PWSI",9859,NA,2794,1267,"orig"
"48",2013,"PWSO",16121,NA,483,2719,"orig"
"49",2014,"NG",22647,10039,NA,NA,"orig"
"50",2014,"PWSI",10063,NA,3206,1271,"orig"
"51",2014,"PWSO",16623,NA,1014,3299,"orig"
"52",2015,"NG",29781,12283,NA,NA,"orig"
"53",2015,"PWSI",14711,NA,3343,1645,"orig"
"54",2015,"PWSO",18599,NA,1041,4096,"orig"
"55",2016,"NG",40409,13081,NA,NA,"orig"
"56",2016,"PWSI",21849,NA,5350,1410,"orig"
"57",2016,"PWSO",21685,NA,1595,5445,"orig"
"58",2017,"NG",19189,14856,NA,NA,"orig"
"59",2017,"PWSI",11176,NA,3686,728,"orig"
"60",2017,"PWSO",20487,NA,1216,6117,"orig"
"61",2018,"NG",29387,14652,NA,NA,"orig"
"62",2018,"PWSI",7676,NA,2788,1077,"orig"
"63",2018,"PWSO",20535,NA,4588,1437,"orig"
"64",2019,"NG",36544,14200,NA,NA,"orig"
"65",2019,"PWSI",7839,NA,4141,859,"orig"
"66",2019,"PWSO",23011,NA,1901,7732,"orig"
"67",2020,"NG",22851,15721,NA,NA,"orig"
"68",2020,"PWSI",4601,NA,2889,944,"orig"
"69",2020,"PWSO",19806,NA,1632,7495,"orig"
"70",2021,"NG",41844,33015,NA,NA,"orig"
"71",2021,"PWSI",8036,NA,4607,1356,"orig"
"72",2021,"PWSO",27130,NA,1736,9091,"orig"
"73",2022,"NG",43879,33340,64,32,"orig"
"74",2022,"PWSI",11379,4,6469,3126,"orig"
"75",2022,"PWSO",25182,0,1777,9006,"orig"
"76",2023,"NG",34179,22711,0,0,"orig"
"77",2023,"PWSI",7853,0,6141,2469,"orig"
"78",2023,"PWSO",17918,0,1286,5905,"orig"
"79",2024,"NG",36006,23506,46,0,"update"
"80",2024,"PWSI",3980,0,6294,2750,"update"
"81",2024,"PWSO",19856,0,1530,5597,"update"
