"YEAR","SEWARD","WHITTIER","VALDEZ.CORD","HOMER"
1998,14289,4760,4091,2074
1999,15819,3533,3983,3680
2000,20617,5550,4658,2958
2001,16494,4761,4037,1625
2002,20671,6318,4133,3217
2003,16387,6112,4666,2987
2004,26423,10090,6731,3127
2005,21592,9278,6895,5854
2006,22008,10691,6227,4031
2007,24062,11453,9339,5737
2008,25418,14151,5785,3807
2009,27339,16637,8405,7065
2010,23129,11552,8138,6438
2011,18511,11937,7277,4996
2012,11505,9478,5565,5588
2013,18932,13331,5850,4581
2014,21949,13582,8787,5937
2015,18207,11818,10813,7841
2016,20425,13843,9143,7726
2017,15102,8422,8035,6265
2018,11958,9929,7471,12963
2019,19319,16166,11348,13358
2020,10554,9492,8344,8114
2021,17227,13065,7258,8705
2022,16588,9954,6667,11140
2023,12318,7810,5837,6332
2024,15982,8452,9398,6847
