"Region","year","RptArea","Log_rfharv","guiSWHS_rfharv","var_guiSWHS_rfharv","privSWHS_rfharv","var_privSWHS_rfharv","SWHS_gprop","var_SWHS_gprop"
"SC",2024,"AFOGNAK",NA,6656,2347775.7,1233,226560.7,0.843706426670047,0.00351283305729153
"SC",2024,"BSAI",NA,1858,1159948.8,799,428000.8,0.699284907790741,0.0445044497490249
"SC",2024,"CI",NA,11969,2837993.9,3180,604805.3,0.790085154135587,0.00219002830611141
"SE",2024,"CSEO",NA,60823,20639476,8696,2077439,0.874911894589968,0.000395863549138106
"SC",2024,"EASTSIDE",NA,3323,880902.06,7786,2049091,0.956534254461716,0.00201520371629713
"SE",2024,"EWYKT",NA,8824,2886007.1,2143,643045.5,0.804595604996809,0.00437735738984399
"SC",2024,"NG",NA,61106,11181160,16109,3279690,0.791374732888687,0.000426127527592492
"SC",2024,"NORTHEAST",NA,9445,2667556,7786,2049091,0.548139980268121,0.00390801859241483
"SE",2024,"NSEI",NA,23469,13294704,13793,5569704,0.629837367827814,0.0029033097112466
"SE",2024,"NSEO",NA,9926,4158938,12493,9395784,0.442749453588474,0.00623402990444823
"SC",2024,"PWSI",NA,13623,2218429,18817,7099624,0.419944512946979,0.00189904334414869
"SC",2024,"PWSO",NA,8918,2048028,4555,2449882,0.66191642544348,0.00720280517808799
"SC",2024,"SOKO2SAP",NA,0,0,0,0,NA,NA
"SE",2024,"SSEI",NA,39539,18238311,20861,10904455,0.654619205298013,0.00187723550916573
"SE",2024,"SSEO",NA,21303,9253508,4836,2481998,0.81498909675198,0.00287641033277409
"SC",2024,"WKMA",NA,6735,2702732.08,503,74163.34,0.930505664548218,0.00147486903239805
"SC",2024,"SKMA",NA,6735,2702732.08,503,74163.34,0.930505664548218,0.00147486903239805
