gLicNum,regnum,BusinessName,HomePort,logbooknum,vesselID,vesselName,logpagenum,logdate,starttime,port_SiteStart,port_Site,page_Num,totalPages,port_reg,port_swhs,port_iphc,Port_Hal_Area,prime_Salm,salm_reg,salm_swhs,salm_iphc,prime_Bott,bott_reg,bott_swhs,bott_iphc,iphc,swhs,region,t_Anglers,thrs_salm,thrs_Bott,nClient,rClient,comp,crew,UnknownClientType,kingLKept,kingLRel,kingSKept,kingSRel,cohoKept,cohoRel,sockKept,OtherSalmonKept,halKept,halRel,HalGAF,lingKept,lingRel,pRockKept,pRockRel,yRockKept,YRockRel,ORockKept,oRockRel,SableKept,SableRel,sharkKept,OtherKept
10021,10022,"BRIAN PETERSON MASTER GUIDE, LLC",UGAK BAY,2510022,586930,STREAMER,104,7/17/2025,5:PM,NULL,UGAK BAY,1,1,SC,Q ,3A,Q3A  ,NULL,NULL,NULL,NULL,525701,SC,Q ,3A,3A,Q ,SC,6,NULL,8,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4,0,NULL,2,0,12,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10028,10029,GOOD TIME CHARTERS,HOMER,2510029,1197854,NONAS ARK,102,6/19/2025,6:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,525931,SC,P ,3A,3A,P ,SC,6,NULL,8,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10028,10029,GOOD TIME CHARTERS,HOMER,2510029,1197854,NONAS ARK,106,7/7/2025,8:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,525931,SC,P ,3A,3A,P ,SC,6,NULL,8,2,4,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,11,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10028,10029,GOOD TIME CHARTERS,HOMER,2510029,1197854,NONAS ARK,107,7/11/2025,5:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,525931,SC,P ,3A,3A,P ,SC,4,NULL,7,4,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,8,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10028,10029,GOOD TIME CHARTERS,HOMER,2510029,1197854,NONAS ARK,111,7/25/2025,7:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,525931,SC,P ,3A,3A,P ,SC,6,NULL,6,0,6,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,11,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10028,10029,GOOD TIME CHARTERS,HOMER,2510029,1197854,NONAS ARK,112,7/26/2025,2:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,515935,SC,P ,3A,3A,P ,SC,4,NULL,5,2,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,103,5/24/2025,7:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,NULL,NULL,NULL,NULL,515901,SC,P ,3A,3A,P ,SC,5,NULL,4,2,0,3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,114,7/3/2025,6:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,222050,SC,P ,3A,525902,SC,P ,3A,3A,P ,SC,6,3,4,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,8,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10030,10031,SWOBODA CHARTERS LLC,HOMER,2510031,612141,ALLEN RAY,122,7/17/2025,7:PM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,222060,SC,P ,3A,515901,SC,P ,3A,3A,P ,SC,6,1,6,2,4,0,0,0,NULL,NULL,NULL,NULL,1,0,NULL,0,10,0,NULL,1,0,12,0,3,0,NULL,NULL,NULL,NULL,NULL,NULL
10056,10057,"MANNS CHARTER SERVICE, INC.",HOMER,2510057,AK3293AF,ARCTIC ADDICTION,105,5/26/2025,4:AM,NULL,HOMER,1,1,SC,P ,3A,LCI  ,222000,SC,P ,3A,515905,SC,P ,3A,3A,P ,SC,4,1,4,4,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,6,0,NULL,NULL,NULL,12,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
