Year,User,Rpt_Area,TotalRF_n,YE_n,Black_n,Pelagic_n,Nonpel_n,NotYE_Nonpel_n,pYE,var_pYE,pYE_avgRptArea,var_pYE_avgRptArea,pBRF,var_pBRF,pBRF_avgRptArea,var_pBRF_avgRptArea,pPel,var_pPel,pPel_avgRptArea,var_pPel_avgRptArea,pNonpel,var_pNonpel,pNonpel_avgRptArea,var_pNonpel_avgRptArea,pYEinNonpel,var_pYEinNonpel,pYEinNonpel_avgRptArea,var_pYEinNonpel_avgRptArea,pBRFinPel,varBRFinPel,pBRFinPel_avgRptArea,var_pBRFinPel_avgRptArea,DSR_n,pDSR,var_pDSR,pDSR_avgRptArea,var_DSR_avgRptArea,pDSRinNonP,var_pDSRinNonP,pDSRinNonP_avgRptArea,var_DSRinNonP_avgRptArea,Slope_n,pSlope,var_pSlope,pSlope_avgRptArea,var_pSlopeAvgRptArea,pSlopeinNonP,var_pSlopeinNonP,pSlopeinNonP_avgRptArea,var_pSlopeinNonPAvgRptArea
1998,charter,CSEO,0,,,,,,,,0.128165469,6.82E-03,,,0.72038119,0.004331934,,,0.747799087,0.005833766,,,0.252200913,0.005832361,,,0.471244356,0.024336318,,,0.964645022,0.00042332,,,,0.225068649,0.006838165,,,0.878873935,0.004259782,,,,0.027132264,0.000119014,,,0.121126065,0.004261477
1999,charter,CSEO,0,,,,,,,,0.128165469,6.82E-03,,,0.72038119,0.004331934,,,0.747799087,0.005833766,,,0.252200913,0.005832361,,,0.471244356,0.024336318,,,0.964645022,0.00042332,,,,0.225068649,0.006838165,,,0.878873935,0.004259782,,,,0.027132264,0.000119014,,,0.121126065,0.004261477
2000,charter,CSEO,0,,,,,,,,0.128165469,6.82E-03,,,0.72038119,0.004331934,,,0.747799087,0.005833766,,,0.252200913,0.005832361,,,0.471244356,0.024336318,,,0.964645022,0.00042332,,,,0.225068649,0.006838165,,,0.878873935,0.004259782,,,,0.027132264,0.000119014,,,0.121126065,0.004261477
2001,charter,CSEO,0,,,,,,,,0.128165469,6.82E-03,,,0.72038119,0.004331934,,,0.747799087,0.005833766,,,0.252200913,0.005832361,,,0.471244356,0.024336318,,,0.964645022,0.00042332,,,,0.225068649,0.006838165,,,0.878873935,0.004259782,,,,0.027132264,0.000119014,,,0.121126065,0.004261477
2002,charter,CSEO,0,,,,,,,,0.128165469,6.82E-03,,,0.72038119,0.004331934,,,0.747799087,0.005833766,,,0.252200913,0.005832361,,,0.471244356,0.024336318,,,0.964645022,0.00042332,,,,0.225068649,0.006838165,,,0.878873935,0.004259782,,,,0.027132264,0.000119014,,,0.121126065,0.004261477
2003,charter,CSEO,0,,,,,,,,0.128165469,6.82E-03,,,0.72038119,0.004331934,,,0.747799087,0.005833766,,,0.252200913,0.005832361,,,0.471244356,0.024336318,,,0.964645022,0.00042332,,,,0.225068649,0.006838165,,,0.878873935,0.004259782,,,,0.027132264,0.000119014,,,0.121126065,0.004261477
2004,charter,CSEO,0,,,,,,,,0.128165469,6.82E-03,,,0.72038119,0.004331934,,,0.747799087,0.005833766,,,0.252200913,0.005832361,,,0.471244356,0.024336318,,,0.964645022,0.00042332,,,,0.225068649,0.006838165,,,0.878873935,0.004259782,,,,0.027132264,0.000119014,,,0.121126065,0.004261477
2005,charter,CSEO,0,,,,,,,,0.128165469,6.82E-03,,,0.72038119,0.004331934,,,0.747799087,0.005833766,,,0.252200913,0.005832361,,,0.471244356,0.024336318,,,0.964645022,0.00042332,,,,0.225068649,0.006838165,,,0.878873935,0.004259782,,,,0.027132264,0.000119014,,,0.121126065,0.004261477
2006,charter,CSEO,5036,1637,"2,863",2890,2146,509,0.325059571,4.36E-05,0.128165469,6.82E-03,0.568506751,4.87E-05,0.72038119,0.004331934,0.573868149,4.86E-05,0.747799087,0.005833766,0.426131851,4.86E-05,0.252200913,0.005832361,0.762814539,8.43E-05,0.471244356,0.024336318,0.990657439,3.20E-06,0.964645022,0.00042332,2071,0.411239079,4.81E-05,0.225068649,0.006838165,0.965051258,1.57E-05,0.878873935,0.004259782,75,0.014892772,2.91E-06,0.027132264,0.000119014,0.034948742,1.57E-05,0.121126065,0.004261477
2007,charter,CSEO,5362,1301,"3,419",3461,1901,600,0.242633346,3.43E-05,0.128165469,6.82E-03,0.637635211,4.31E-05,0.72038119,0.004331934,0.645468109,4.27E-05,0.747799087,0.005833766,0.354531891,4.27E-05,0.252200913,0.005832361,0.684376644,0.000113687,0.471244356,0.024336318,0.987864779,3.46E-06,0.964645022,0.00042332,1819,0.33923909,4.18E-05,0.225068649,0.006838165,0.956864808,2.17E-05,0.878873935,0.004259782,82,0.015292801,2.81E-06,0.027132264,0.000119014,0.043135192,2.17E-05,0.121126065,0.004261477
2008,charter,CSEO,7533,1268,"5,352",5425,2108,840,0.168326032,1.86E-05,0.128165469,6.82E-03,0.710473915,2.73E-05,0.72038119,0.004331934,0.720164609,2.68E-05,0.747799087,0.005833766,0.279835391,2.68E-05,0.252200913,0.005832361,0.601518027,0.000113761,0.471244356,0.024336318,0.986543779,2.45E-06,0.964645022,0.00042332,1938,0.257268021,2.54E-05,0.225068649,0.006838165,0.919354839,3.52E-05,0.878873935,0.004259782,170,0.02256737,2.93E-06,0.027132264,0.000119014,0.080645161,3.52E-05,0.121126065,0.004261477
2009,charter,CSEO,3785,783,"2,495",2587,1198,415,0.206869221,4.34E-05,0.128165469,6.82E-03,0.659180978,5.94E-05,0.72038119,0.004331934,0.68348745,5.72E-05,0.747799087,0.005833766,0.31651255,5.72E-05,0.252200913,0.005832361,0.653589316,0.000189148,0.471244356,0.024336318,0.964437572,1.33E-05,0.964645022,0.00042332,1149,0.303566711,5.59E-05,0.225068649,0.006838165,0.959098497,3.28E-05,0.878873935,0.004259782,49,0.012945839,3.38E-06,0.027132264,0.000119014,0.040901503,3.28E-05,0.121126065,0.004261477
