"USER","YEAR","PORT","CFMU","Pel","NP","BRF","YE"
"Charter",1993,"Homer","CI",29,0,13,0
"Charter",1993,"Homer","NG",94,62,66,60
"Charter",1993,"Seward","NG",188,76,172,43
"Charter",1993,"Seward","PWSI",18,21,9,14
"Charter",1993,"Seward","PWSO",73,41,59,24
"Charter",1993,"Valdez","PWSI",8,72,8,44
"Charter",1993,"Valdez","PWSO",35,78,35,78
"Charter",1994,"Homer","CI",2,0,1,0
"Charter",1994,"Homer","NG",23,13,10,13
"Charter",1994,"Seward","NG",188,82,175,61
"Charter",1994,"Seward","PWSI",58,22,57,15
"Charter",1994,"Seward","PWSO",85,44,83,34
"Charter",1994,"Valdez","PWSI",29,61,28,50
"Charter",1994,"Valdez","PWSO",67,24,67,21
"Charter",1995,"Homer","NG",55,46,34,45
"Charter",1995,"Seward","NG",245,135,232,85
"Charter",1995,"Seward","PWSI",33,63,29,31
"Charter",1995,"Seward","PWSO",62,110,51,84
"Charter",1995,"Valdez","PWSI",19,45,18,40
"Charter",1995,"Valdez","PWSO",41,15,40,15
"Charter",1996,"Homer","CI",5,0,2,0
"Charter",1996,"Homer","NG",16,19,12,19
"Charter",1996,"Seward","NG",188,17,188,14
"Charter",1996,"Seward","PWSI",16,10,16,4
"Charter",1996,"Seward","PWSO",38,8,38,7
"Charter",1996,"Valdez","PWSI",0,13,0,4
"Charter",1996,"Valdez","PWSO",26,37,26,35
"Charter",1997,"Homer","CI",2,0,2,0
"Charter",1997,"Homer","NG",22,92,19,88
"Charter",1997,"Kodiak","EASTSIDE",5,0,5,0
"Charter",1997,"Seward","NG",73,36,59,23
"Charter",1997,"Seward","PWSO",49,35,46,32
"Charter",1997,"Valdez","PWSI",21,29,21,22
"Charter",1997,"Valdez","PWSO",58,48,56,45
"Charter",1998,"Homer","CI",2,4,2,0
"Charter",1998,"Homer","NG",56,33,49,30
"Charter",1998,"Kodiak","EASTSIDE",9,0,8,0
"Charter",1998,"Seward","NG",129,20,118,12
"Charter",1998,"Seward","PWSI",67,8,67,7
"Charter",1998,"Seward","PWSO",41,34,39,25
"Charter",1998,"Valdez","PWSI",6,53,6,40
"Charter",1998,"Valdez","PWSO",45,78,43,70
"Charter",1998,"Whittier","PWSI",3,44,0,42
"Charter",1999,"Cordova","PWSI",2,28,0,18
"Charter",1999,"Homer","CI",35,1,30,0
"Charter",1999,"Homer","NG",129,60,87,58
"Charter",1999,"Kodiak","EASTSIDE",4,0,4,0
"Charter",1999,"Seward","NG",196,113,192,78
"Charter",1999,"Seward","PWSI",57,26,57,11
"Charter",1999,"Seward","PWSO",12,25,12,21
"Charter",1999,"Valdez","PWSI",25,47,21,26
"Charter",1999,"Valdez","PWSO",90,143,87,134
"Charter",1999,"Whittier","PWSI",46,156,26,114
"Charter",1999,"Whittier","PWSO",55,12,50,9
"Charter",2000,"Homer","CI",29,8,11,0
"Charter",2000,"Homer","NG",46,112,34,106
"Charter",2000,"Kodiak","EASTSIDE",22,0,21,0
"Charter",2000,"Seward","NG",166,83,144,49
"Charter",2000,"Seward","PWSI",20,21,16,6
"Charter",2000,"Seward","PWSO",17,37,17,30
"Charter",2000,"Valdez","PWSI",17,60,17,48
"Charter",2000,"Valdez","PWSO",39,213,38,206
"Charter",2000,"Whittier","PWSI",91,195,20,63
"Charter",2000,"Whittier","PWSO",28,43,19,35
"Charter",2001,"Homer","CI",8,0,8,0
"Charter",2001,"Homer","NG",49,73,25,67
"Charter",2001,"Kodiak","EASTSIDE",2,0,2,0
"Charter",2001,"Seward","NG",114,36,106,22
"Charter",2001,"Seward","PWSI",54,11,49,3
"Charter",2001,"Seward","PWSO",87,31,79,22
"Charter",2001,"Valdez","PWSI",13,37,12,27
"Charter",2001,"Valdez","PWSO",46,199,44,195
"Charter",2001,"Whittier","PWSI",31,159,13,63
"Charter",2001,"Whittier","PWSO",76,46,71,22
"Charter",2002,"Homer","CI",30,0,11,0
"Charter",2002,"Homer","NG",86,48,80,43
"Charter",2002,"Seward","NG",125,27,110,19
"Charter",2002,"Seward","PWSI",43,19,37,17
"Charter",2002,"Seward","PWSO",66,22,61,19
"Charter",2002,"Valdez","PWSI",1,33,0,21
"Charter",2002,"Valdez","PWSO",76,225,72,204
"Charter",2002,"Whittier","PWSI",38,123,26,69
"Charter",2002,"Whittier","PWSO",54,37,45,32
"Charter",2003,"Homer","CI",48,5,28,0
"Charter",2003,"Homer","NG",222,114,130,109
"Charter",2003,"Kodiak","EASTSIDE",13,0,12,0
"Charter",2003,"Seward","NG",282,21,272,12
"Charter",2003,"Seward","PWSI",62,29,59,22
"Charter",2003,"Seward","PWSO",192,38,186,26
"Charter",2003,"Valdez","PWSI",49,29,39,11
