"USER","YEAR","PORT","CFMU","Pel","NP","BRF","YE"
"Private",1993,"Homer","CI",6,0,4,0
"Private",1993,"Kodiak","AFOGNAK",16,0,13,0
"Private",1993,"Kodiak","NORTHEAST",185,1,161,1
"Private",1993,"Seward","NG",71,38,61,17
"Private",1993,"Seward","PWSO",14,4,11,2
"Private",1993,"Valdez","PWSI",1,23,0,7
"Private",1993,"Valdez","PWSO",1,1,1,1
"Private",1994,"Kodiak","NORTHEAST",72,1,58,1
"Private",1994,"Seward","NG",59,9,58,2
"Private",1994,"Seward","PWSO",1,2,1,2
"Private",1994,"Valdez","PWSI",0,14,0,11
"Private",1995,"Homer","CI",7,0,3,0
"Private",1995,"Kodiak","NORTHEAST",97,9,62,9
"Private",1995,"Seward","NG",32,52,31,25
"Private",1995,"Seward","PWSO",6,1,6,1
"Private",1995,"Valdez","PWSI",0,9,0,3
"Private",1996,"Homer","CI",13,0,2,0
"Private",1996,"Homer","NG",1,1,1,1
"Private",1996,"Kodiak","NORTHEAST",73,1,65,0
"Private",1996,"Seward","NG",36,10,31,4
"Private",1996,"Seward","PWSI",7,0,7,0
"Private",1996,"Valdez","PWSI",4,33,0,3
"Private",1996,"Valdez","PWSO",0,3,0,3
"Private",1997,"Homer","CI",30,2,17,2
"Private",1997,"Kodiak","NORTHEAST",27,2,26,2
"Private",1997,"Seward","NG",114,18,112,17
"Private",1997,"Seward","PWSI",0,3,0,3
"Private",1997,"Seward","PWSO",5,4,5,3
"Private",1997,"Valdez","PWSI",14,62,3,32
"Private",1997,"Valdez","PWSO",0,9,0,9
"Private",1998,"Homer","CI",27,0,16,0
"Private",1998,"Homer","NG",2,0,2,0
"Private",1998,"Kodiak","NORTHEAST",87,3,75,3
"Private",1998,"Seward","NG",136,27,121,17
"Private",1998,"Seward","PWSI",1,1,1,1
"Private",1998,"Seward","PWSO",3,5,3,3
"Private",1998,"Valdez","PWSI",4,41,3,34
"Private",1998,"Valdez","PWSO",2,4,2,4
"Private",1998,"Whittier","PWSI",0,1,0,0
"Private",1999,"Cordova","PWSI",1,2,1,2
"Private",1999,"Homer","CI",59,1,39,0
"Private",1999,"Homer","NG",1,5,1,4
"Private",1999,"Kodiak","EASTSIDE",1,0,1,0
"Private",1999,"Kodiak","NORTHEAST",217,6,159,6
"Private",1999,"Seward","NG",104,41,94,16
"Private",1999,"Seward","PWSI",2,1,2,1
"Private",1999,"Seward","PWSO",4,8,3,6
"Private",1999,"Valdez","PWSI",8,75,1,38
"Private",1999,"Valdez","PWSO",13,4,13,4
"Private",1999,"Whittier","PWSI",11,94,0,82
"Private",1999,"Whittier","PWSO",0,3,0,1
