"Year","User","Rpt_Area","TotalRF_n","YE_n","Black_n","Pelagic_n","Nonpel_n","NotYE_Nonpel_n","pYE","var_pYE","pYE_avgRptArea","var_pYE_avgRptArea","pBRF","var_pBRF","pBRF_avgRptArea","var_pBRF_avgRptArea","pPel","var_pPel","pPel_avgRptArea","var_pPel_avgRptArea","pNonpel","var_pNonpel","pNonpel_avgRptArea","var_pNonpel_avgRptArea","pYEinNonpel","var_pYEinNonpel","pYEinNonpel_avgRptArea","var_pYEinNonpel_avgRptArea","pBRFinPel","varBRFinPel","pBRFinPel_avgRptArea","var_pBRFinPel_avgRptArea"
1993,"charter","AFOGNAK",45,0,39,45,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,"charter","AFOGNAK",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,"charter","AFOGNAK",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"charter","AFOGNAK",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"charter","AFOGNAK",19,0,19,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"charter","AFOGNAK",0,0,0,0,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
1999,"charter","AFOGNAK",10,0,10,10,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2000,"charter","AFOGNAK",0,0,0,0,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2001,"charter","AFOGNAK",0,0,0,0,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
2002,"charter","AFOGNAK",3,0,0,3,0,0,NA,NA,0.116780045351474,0.00116113089852245,NA,NA,0.503212396069539,0.00444350380707945,NA,NA,0.858654572940287,0.0015055577019235,NA,NA,0.141345427059713,0.00149795618234435,NA,NA,NA,NA,NA,NA,NA,NA
