"SP","USER","YEAR","CFMU","n_fish","boats","mean_wt","sd_wt","bootstrap_sd"
142,"Charter",2007,"NG",515,39,2.38660776801232,0.556667386187088,0.0247597448248725
142,"Charter",2007,"NORTHEAST",49,7,2.63335786678753,0.527223599460093,0.0746581891018329
142,"Charter",2007,"PWSI",198,17,2.4241027202822,0.56027308024735,0.0401137616637473
142,"Charter",2007,"PWSO",431,25,2.493264790765,0.646657525697292,0.0315575388227011
142,"Charter",2008,"NG",546,38,2.49551404595841,0.577837015016305,0.0248119821204234
142,"Charter",2008,"NORTHEAST",105,11,2.48267370153482,0.474443400523938,0.048493312186159
142,"Charter",2008,"PWSI",108,14,2.49420363796837,0.623810273890826,0.0596240082219576
142,"Charter",2008,"PWSO",342,25,2.55056969713831,0.653527268621423,0.0354246072891762
142,"Charter",2009,"CI",23,5,2.16162565383065,0.568932018832654,0.119500815279857
142,"Charter",2009,"NG",628,40,2.28930342972336,0.625922870830302,0.0252807082850984
142,"Charter",2009,"PWSI",180,21,2.38619062038096,0.589672966063686,0.0447035865681516
142,"Charter",2009,"PWSO",635,34,2.40414502607347,0.672754871029324,0.0270997742015656
142,"Charter",2010,"CI",84,12,2.49047951836291,0.514463206366492,0.0560012418808672
142,"Charter",2010,"NG",693,39,2.44654674958011,0.534947005262716,0.0199252447559255
142,"Charter",2010,"NORTHEAST",52,5,2.44116526314961,0.378143415061215,0.0517723887463401
142,"Charter",2010,"PWSI",187,21,2.51183905717783,0.598600676783747,0.0428501184758816
142,"Charter",2010,"PWSO",418,28,2.50369509230344,0.777963457180488,0.0381817495032029
142,"Charter",2011,"CI",30,6,2.60969269683789,0.511487982642996,0.0898019565874028
142,"Charter",2011,"NG",556,33,2.32318258425256,0.563884151478894,0.0231680581210127
142,"Charter",2011,"NORTHEAST",119,9,2.35239879236676,0.46829824395231,0.0418415374298806
142,"Charter",2011,"PWSI",205,15,2.44101645572118,0.638404017900954,0.0433840196227373
142,"Charter",2011,"PWSO",504,26,2.48505363306442,0.576645900533849,0.0261079758925332
142,"Charter",2012,"CI",40,9,2.50865003813665,0.429774550470536,0.0685561040314532
142,"Charter",2012,"NG",574,31,2.3061897314186,0.578393513978616,0.0237384649519415
