YEAR,CFMU,Assemblage,USER,RelCat,avg_WtKg,SE_WtKg,var_WtKg,P_Rel,PcatSurface,PcatDRM,Mort_rate
2006,CI,Black,Charter,3,2.388888889,0.206454491,0.383611111,0.035532995,1,0,0.059949239
2006,CI,Black,Charter,1,2.388888889,0.206454491,0.383611111,0.568527919,1,0,0.059949239
2006,CI,Black,Charter,2,2.388888889,0.206454491,0.383611111,0.395939086,1,0,0.059949239
2010,CI,Black,Charter,3,2.028571429,0.193605251,0.262380952,0.035532995,1,0,0.059949239
2010,CI,Black,Charter,1,2.028571429,0.193605251,0.262380952,0.568527919,1,0,0.059949239
2010,CI,Black,Charter,2,2.028571429,0.193605251,0.262380952,0.395939086,1,0,0.059949239
2015,CI,Black,Charter,3,1.2,0,0,0.035532995,0.571428571,0.428571429,0.01396261
2015,CI,Black,Charter,1,1.2,0,0,0.568527919,0.982142857,0.017857143,0
2015,CI,Black,Charter,2,1.2,0,0,0.395939086,0.474358974,0.525641026,0.032688284
2008,CI,Black,Charter,3,2.5,0.1,0.02,0.035532995,1,0,0.059949239
2008,CI,Black,Charter,1,2.5,0.1,0.02,0.568527919,1,0,0.059949239
2008,CI,Black,Charter,2,2.5,0.1,0.02,0.395939086,1,0,0.059949239
2022,CI,Black,Charter,3,1.805882353,0.060918574,0.063088235,0.035532995,0.571428571,0.428571429,0.01396261
2022,CI,Black,Charter,1,1.805882353,0.060918574,0.063088235,0.568527919,0.982142857,0.017857143,0
2022,CI,Black,Charter,2,1.805882353,0.060918574,0.063088235,0.395939086,0.474358974,0.525641026,0.032688284
2005,CI,Black,Charter,3,2.438095238,0.10361931,0.22547619,0.035532995,1,0,0.059949239
2005,CI,Black,Charter,1,2.438095238,0.10361931,0.22547619,0.568527919,1,0,0.059949239
2005,CI,Black,Charter,2,2.438095238,0.10361931,0.22547619,0.395939086,1,0,0.059949239
2016,CI,Black,Charter,3,1.65,0.05,0.005,0.035532995,0.571428571,0.428571429,0.01396261
2016,CI,Black,Charter,1,1.65,0.05,0.005,0.568527919,0.982142857,0.017857143,0
2016,CI,Black,Charter,2,1.65,0.05,0.005,0.395939086,0.474358974,0.525641026,0.032688284
2009,CI,Black,Charter,3,1.725,0.239356777,0.229166667,0.035532995,1,0,0.059949239
2009,CI,Black,Charter,1,1.725,0.239356777,0.229166667,0.568527919,1,0,0.059949239
2009,CI,Black,Charter,2,1.725,0.239356777,0.229166667,0.395939086,1,0,0.059949239
2023,CI,Black,Charter,3,2.114285714,0.092398133,0.179285714,0.035532995,0.571428571,0.428571429,0.01396261
2023,CI,Black,Charter,1,2.114285714,0.092398133,0.179285714,0.568527919,0.982142857,0.017857143,0
2023,CI,Black,Charter,2,2.114285714,0.092398133,0.179285714,0.395939086,0.474358974,0.525641026,0.032688284
2012,CI,Black,Charter,3,2.485714286,0.103114757,0.223285714,0.035532995,1,0,0.059949239
2012,CI,Black,Charter,1,2.485714286,0.103114757,0.223285714,0.568527919,1,0,0.059949239
2012,CI,Black,Charter,2,2.485714286,0.103114757,0.223285714,0.395939086,1,0,0.059949239
2001,CI,Black,Charter,3,1.95,0.092195445,0.051,0.035532995,1,0,0.059949239
2001,CI,Black,Charter,1,1.95,0.092195445,0.051,0.568527919,1,0,0.059949239
2001,CI,Black,Charter,2,1.95,0.092195445,0.051,0.395939086,1,0,0.059949239
2007,CI,Black,Charter,3,2.633333333,0.233927814,0.4925,0.035532995,1,0,0.059949239
2007,CI,Black,Charter,1,2.633333333,0.233927814,0.4925,0.568527919,1,0,0.059949239
2007,CI,Black,Charter,2,2.633333333,0.233927814,0.4925,0.395939086,1,0,0.059949239
2014,CI,Black,Charter,3,2.425,0.252899848,0.255833333,0.035532995,0.571428571,0.428571429,0.01396261
2014,CI,Black,Charter,1,2.425,0.252899848,0.255833333,0.568527919,0.982142857,0.017857143,0
2014,CI,Black,Charter,2,2.425,0.252899848,0.255833333,0.395939086,0.474358974,0.525641026,0.032688284
2002,CI,Black,Charter,3,2.125,0.278013789,0.309166667,0.035532995,1,0,0.059949239
2002,CI,Black,Charter,1,2.125,0.278013789,0.309166667,0.568527919,1,0,0.059949239
2002,CI,Black,Charter,2,2.125,0.278013789,0.309166667,0.395939086,1,0,0.059949239
2004,CI,Black,Charter,3,2.05,0.272335577,0.296666667,0.035532995,1,0,0.059949239
2004,CI,Black,Charter,1,2.05,0.272335577,0.296666667,0.568527919,1,0,0.059949239
2004,CI,Black,Charter,2,2.05,0.272335577,0.296666667,0.395939086,1,0,0.059949239
2019,CI,Black,Charter,3,0.90952381,0.038528316,0.062346109,0.035532995,0.571428571,0.428571429,0.01396261
2019,CI,Black,Charter,1,0.90952381,0.038528316,0.062346109,0.568527919,0.982142857,0.017857143,0
2019,CI,Black,Charter,2,0.90952381,0.038528316,0.062346109,0.395939086,0.474358974,0.525641026,0.032688284
2000,CI,Black,Charter,3,2.175,0.09955257,0.079285714,0.035532995,1,0,0.059949239
2000,CI,Black,Charter,1,2.175,0.09955257,0.079285714,0.568527919,1,0,0.059949239
2000,CI,Black,Charter,2,2.175,0.09955257,0.079285714,0.395939086,1,0,0.059949239
1999,CI,Black,Charter,3,3.8,NA,NA,0.035532995,1,0,0.059949239
1999,CI,Black,Charter,1,3.8,NA,NA,0.568527919,1,0,0.059949239
1999,CI,Black,Charter,2,3.8,NA,NA,0.395939086,1,0,0.059949239
2003,CI,Black,Charter,3,2.42,0.120922381,0.146222222,0.035532995,1,0,0.059949239
2003,CI,Black,Charter,1,2.42,0.120922381,0.146222222,0.568527919,1,0,0.059949239
2003,CI,Black,Charter,2,2.42,0.120922381,0.146222222,0.395939086,1,0,0.059949239
2018,CI,Black,Charter,3,1.409090909,0.192714612,0.817056277,0.035532995,0.571428571,0.428571429,0.01396261
2018,CI,Black,Charter,1,1.409090909,0.192714612,0.817056277,0.568527919,0.982142857,0.017857143,0
2018,CI,Black,Charter,2,1.409090909,0.192714612,0.817056277,0.395939086,0.474358974,0.525641026,0.032688284
2003,CI,Yelloweye,Charter,2,7.775,0.303795436,0.369166667,0.14269664,1,0,0.912481168
2003,CI,Yelloweye,Charter,3,7.775,0.303795436,0.369166667,0.362045088,1,0,0.912481168
2009,CI,Yelloweye,Charter,2,5.291666667,0.537172498,3.462651515,0.14269664,1,0,0.912481168
2009,CI,Yelloweye,Charter,3,5.291666667,0.537172498,3.462651515,0.362045088,1,0,0.912481168
2018,CI,Yelloweye,Charter,2,4.327272727,0.256228204,0.722181818,0.14269664,0.291083011,0.708916989,0.2799022
2018,CI,Yelloweye,Charter,3,4.327272727,0.256228204,0.722181818,0.362045088,0.291083011,0.708916989,0.2799022
2002,CI,Yelloweye,Charter,2,3.866666667,0.617341973,1.143333333,0.14269664,1,0,0.912481168
2002,CI,Yelloweye,Charter,3,3.866666667,0.617341973,1.143333333,0.362045088,1,0,0.912481168
2016,CI,Black,Private,1,1.8,0.165327957,0.164,0.81779661,0.992227979,0.007772021,0
2016,CI,Black,Private,3,1.8,0.165327957,0.164,0.025423729,0.666666667,0.333333333,0.063061956
2016,CI,Black,Private,4,1.8,0.165327957,0.164,0.01059322,1,0,0.008602151
2016,CI,Black,Private,2,1.8,0.165327957,0.164,0.146186441,1,0,0.017806452
2009,CI,Black,Private,1,2.06,0.193907194,0.188,0.81779661,1,0,0.034915254
2009,CI,Black,Private,3,2.06,0.193907194,0.188,0.025423729,1,0,0.034915254
2009,CI,Black,Private,4,2.06,0.193907194,0.188,0.01059322,1,0,0.034915254
2009,CI,Black,Private,2,2.06,0.193907194,0.188,0.146186441,1,0,0.034915254
1998,CI,Black,Private,1,2,NA,NA,0.81779661,1,0,0.034915254
1998,CI,Black,Private,3,2,NA,NA,0.025423729,1,0,0.034915254
1998,CI,Black,Private,4,2,NA,NA,0.01059322,1,0,0.034915254
1998,CI,Black,Private,2,2,NA,NA,0.146186441,1,0,0.034915254
2023,CI,Black,Private,1,2.166666667,0.218581284,0.143333333,0.81779661,0.992227979,0.007772021,0
2023,CI,Black,Private,3,2.166666667,0.218581284,0.143333333,0.025423729,0.666666667,0.333333333,0.063061956
2023,CI,Black,Private,4,2.166666667,0.218581284,0.143333333,0.01059322,1,0,0.008602151
2023,CI,Black,Private,2,2.166666667,0.218581284,0.143333333,0.146186441,1,0,0.017806452
2019,CI,Black,Private,1,1.044827586,0.043624141,0.220755622,0.81779661,0.992227979,0.007772021,0
2019,CI,Black,Private,3,1.044827586,0.043624141,0.220755622,0.025423729,0.666666667,0.333333333,0.063061956
