"YEAR","CFMU","Assemblage","USER","RelCat","avg_WtKg","SE_WtKg","var_WtKg","P_Rel","PcatSurface","PcatDRM","Mort_rate"
2009,"CI","Black","Charter",3,1.725,0.239356776939084,0.229166666666667,0.0355329949238579,1,0,0.0599492385786802
2009,"CI","Black","Charter",1,1.725,0.239356776939084,0.229166666666667,0.568527918781726,1,0,0.0599492385786802
2009,"CI","Black","Charter",2,1.725,0.239356776939084,0.229166666666667,0.395939086294416,1,0,0.0599492385786802
2000,"CI","Black","Charter",3,2.175,0.0995525704626168,0.0792857142857143,0.0355329949238579,1,0,0.0599492385786802
2000,"CI","Black","Charter",1,2.175,0.0995525704626168,0.0792857142857143,0.568527918781726,1,0,0.0599492385786802
2000,"CI","Black","Charter",2,2.175,0.0995525704626168,0.0792857142857143,0.395939086294416,1,0,0.0599492385786802
2001,"CI","Black","Charter",3,1.95,0.0921954445729289,0.051,0.0355329949238579,1,0,0.0599492385786802
2001,"CI","Black","Charter",1,1.95,0.0921954445729289,0.051,0.568527918781726,1,0,0.0599492385786802
2001,"CI","Black","Charter",2,1.95,0.0921954445729289,0.051,0.395939086294416,1,0,0.0599492385786802
2007,"CI","Black","Charter",3,2.63333333333333,0.23392781412697,0.4925,0.0355329949238579,1,0,0.0599492385786802
2007,"CI","Black","Charter",1,2.63333333333333,0.23392781412697,0.4925,0.568527918781726,1,0,0.0599492385786802
2007,"CI","Black","Charter",2,2.63333333333333,0.23392781412697,0.4925,0.395939086294416,1,0,0.0599492385786802
2024,"CI","Black","Charter",3,2.04782608695652,0.0754848502210639,0.262106280193237,0.0355329949238579,0.571428571428571,0.428571428571429,0.013962609518325
2024,"CI","Black","Charter",1,2.04782608695652,0.0754848502210639,0.262106280193237,0.568527918781726,0.982142857142857,0.0178571428571429,0
2024,"CI","Black","Charter",2,2.04782608695652,0.0754848502210639,0.262106280193237,0.395939086294416,0.474358974358974,0.525641025641026,0.032688283978235
2012,"CI","Black","Charter",3,2.48571428571429,0.103114756757821,0.223285714285714,0.0355329949238579,1,0,0.0599492385786802
2012,"CI","Black","Charter",1,2.48571428571429,0.103114756757821,0.223285714285714,0.568527918781726,1,0,0.0599492385786802
2012,"CI","Black","Charter",2,2.48571428571429,0.103114756757821,0.223285714285714,0.395939086294416,1,0,0.0599492385786802
2008,"CI","Black","Charter",3,2.5,0.1,0.02,0.0355329949238579,1,0,0.0599492385786802
2008,"CI","Black","Charter",1,2.5,0.1,0.02,0.568527918781726,1,0,0.0599492385786802
2008,"CI","Black","Charter",2,2.5,0.1,0.02,0.395939086294416,1,0,0.0599492385786802
2015,"CI","Black","Charter",3,1.2,0,0,0.0355329949238579,0.571428571428571,0.428571428571429,0.013962609518325
2015,"CI","Black","Charter",1,1.2,0,0,0.568527918781726,0.982142857142857,0.0178571428571429,0
2015,"CI","Black","Charter",2,1.2,0,0,0.395939086294416,0.474358974358974,0.525641025641026,0.032688283978235
2019,"CI","Black","Charter",3,0.90952380952381,0.0385283164807693,0.0623461091753775,0.0355329949238579,0.571428571428571,0.428571428571429,0.013962609518325
2019,"CI","Black","Charter",1,0.90952380952381,0.0385283164807693,0.0623461091753775,0.568527918781726,0.982142857142857,0.0178571428571429,0
2019,"CI","Black","Charter",2,0.90952380952381,0.0385283164807693,0.0623461091753775,0.395939086294416,0.474358974358974,0.525641025641026,0.032688283978235
2014,"CI","Black","Charter",3,2.425,0.252899848424892,0.255833333333333,0.0355329949238579,0.571428571428571,0.428571428571429,0.013962609518325
2014,"CI","Black","Charter",1,2.425,0.252899848424892,0.255833333333333,0.568527918781726,0.982142857142857,0.0178571428571429,0
2014,"CI","Black","Charter",2,2.425,0.252899848424892,0.255833333333333,0.395939086294416,0.474358974358974,0.525641025641026,0.032688283978235
1999,"CI","Black","Charter",3,3.8,NA,NA,0.0355329949238579,1,0,0.0599492385786802
1999,"CI","Black","Charter",1,3.8,NA,NA,0.568527918781726,1,0,0.0599492385786802
1999,"CI","Black","Charter",2,3.8,NA,NA,0.395939086294416,1,0,0.0599492385786802
2016,"CI","Black","Charter",3,1.65,0.0499999999999999,0.00499999999999999,0.0355329949238579,0.571428571428571,0.428571428571429,0.013962609518325
2016,"CI","Black","Charter",1,1.65,0.0499999999999999,0.00499999999999999,0.568527918781726,0.982142857142857,0.0178571428571429,0
2016,"CI","Black","Charter",2,1.65,0.0499999999999999,0.00499999999999999,0.395939086294416,0.474358974358974,0.525641025641026,0.032688283978235
2003,"CI","Black","Charter",3,2.42,0.120922380981447,0.146222222222222,0.0355329949238579,1,0,0.0599492385786802
2003,"CI","Black","Charter",1,2.42,0.120922380981447,0.146222222222222,0.568527918781726,1,0,0.0599492385786802
2003,"CI","Black","Charter",2,2.42,0.120922380981447,0.146222222222222,0.395939086294416,1,0,0.0599492385786802
2006,"CI","Black","Charter",3,2.38888888888889,0.206454490845134,0.383611111111111,0.0355329949238579,1,0,0.0599492385786802
2006,"CI","Black","Charter",1,2.38888888888889,0.206454490845134,0.383611111111111,0.568527918781726,1,0,0.0599492385786802
2006,"CI","Black","Charter",2,2.38888888888889,0.206454490845134,0.383611111111111,0.395939086294416,1,0,0.0599492385786802
2023,"CI","Black","Charter",3,2.11428571428571,0.0923981329139631,0.179285714285714,0.0355329949238579,0.571428571428571,0.428571428571429,0.013962609518325
