"YEAR","CFMU","SP","USER","unique_boats","sampled_fish"
2007,"AFOGNAK",142,"Charter",1,13
2007,"CI",142,"Charter",2,10
2007,"EASTSIDE",142,"Charter",2,26
2007,"NG",142,"Charter",39,516
2007,"NG",145,"Charter",24,55
2007,"NORTHEAST",142,"Charter",7,49
2007,"PWSI",142,"Charter",17,198
2007,"PWSI",145,"Charter",17,76
2007,"PWSO",142,"Charter",25,431
2007,"PWSO",145,"Charter",22,167
2008,"CI",142,"Charter",1,2
2008,"CI",145,"Charter",1,2
2008,"EASTSIDE",145,"Charter",1,1
2008,"NG",142,"Charter",38,548
2008,"NG",145,"Charter",22,102
2008,"NORTHEAST",142,"Charter",11,105
2008,"NORTHEAST",145,"Charter",3,16
2008,"PWSI",142,"Charter",14,108
2008,"PWSI",145,"Charter",17,99
2008,"PWSO",142,"Charter",25,342
2008,"PWSO",145,"Charter",23,181
2009,"AFOGNAK",142,"Charter",2,30
2009,"AFOGNAK",145,"Charter",1,1
2009,"CI",142,"Charter",5,23
2009,"CI",145,"Charter",4,16
2009,"EASTSIDE",142,"Charter",1,50
2009,"NG",142,"Charter",41,651
2009,"NG",145,"Charter",28,101
2009,"NORTHEAST",142,"Charter",3,53
2009,"NORTHEAST",145,"Charter",4,16
2009,"PWSI",142,"Charter",21,189
2009,"PWSI",145,"Charter",20,74
2009,"PWSO",142,"Charter",35,654
2009,"PWSO",145,"Charter",30,269
2009,"WESTSIDE",142,"Charter",1,4
2009,"WESTSIDE",145,"Charter",1,4
2010,"AFOGNAK",142,"Charter",1,18
2010,"CI",142,"Charter",12,84
2010,"CI",145,"Charter",2,2
2010,"NG",142,"Charter",39,716
2010,"NG",145,"Charter",36,207
2010,"NORTHEAST",142,"Charter",5,53
2010,"NORTHEAST",145,"Charter",3,14
2010,"PWSI",142,"Charter",21,191
2010,"PWSI",145,"Charter",22,102
2010,"PWSO",142,"Charter",28,425
2010,"PWSO",145,"Charter",27,262
2011,"AFOGNAK",142,"Charter",2,5
2011,"AFOGNAK",145,"Charter",1,6
2011,"CI",142,"Charter",6,30
2011,"CI",145,"Charter",1,6
2011,"NG",142,"Charter",33,562
2011,"NG",145,"Charter",19,98
2011,"NORTHEAST",142,"Charter",9,119
2011,"NORTHEAST",145,"Charter",2,7
2011,"PWSI",142,"Charter",15,208
2011,"PWSI",145,"Charter",16,78
2011,"PWSO",142,"Charter",26,513
2011,"PWSO",145,"Charter",19,158
2012,"AFOGNAK",142,"Charter",1,20
2012,"CI",142,"Charter",9,40
2012,"CI",145,"Charter",3,8
2012,"EASTSIDE",142,"Charter",2,21
2012,"NG",142,"Charter",31,583
2012,"NG",145,"Charter",25,104
2012,"NORTHEAST",142,"Charter",7,108
2012,"NORTHEAST",145,"Charter",2,4
2012,"PWSI",142,"Charter",20,280
2012,"PWSI",145,"Charter",23,91
2012,"PWSO",142,"Charter",34,490
2012,"PWSO",145,"Charter",28,243
2013,"CI",142,"Charter",7,26
2013,"NG",142,"Charter",35,779
2013,"NG",145,"Charter",27,131
2013,"NORTHEAST",142,"Charter",7,244
2013,"NORTHEAST",145,"Charter",5,19
2013,"PWSI",142,"Charter",16,312
2013,"PWSI",145,"Charter",16,77
2013,"PWSO",142,"Charter",29,489
2013,"PWSO",145,"Charter",23,223
2014,"AFOGNAK",142,"Charter",1,12
2014,"AFOGNAK",145,"Charter",1,2
2014,"CI",142,"Charter",10,90
2014,"CI",145,"Charter",1,2
2014,"NG",142,"Charter",32,624
2014,"NG",145,"Charter",22,75
2014,"NORTHEAST",142,"Charter",9,251
2014,"NORTHEAST",145,"Charter",5,13
2014,"PWSI",142,"Charter",17,409
2014,"PWSI",145,"Charter",16,66
2014,"PWSO",142,"Charter",32,785
2014,"PWSO",145,"Charter",26,164
2015,"AFOGNAK",142,"Charter",3,47
