year,user,area,totalrf_n,ye_n,black_n,pelagic_n,nonpel_n,dsr_n,slope_n,dat_yr,cat,data_source,,,
1998,charter,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1999,charter,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,charter,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,charter,CSEO,2392,1527,552,756,1636,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2001,charter,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2001,charter,CSEO,1691,1338,263,317,1374,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2002,charter,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2002,charter,CSEO,1257,819,321,380,877,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2003,charter,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2003,charter,CSEO,1594,939,464,534,1060,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2004,charter,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2004,charter,CSEO,2645,1706,730,799,1846,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2005,charter,CSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2005,charter,CSEO,3380,1858,1227,1275,2105,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2006,charter,CSEO,5036,1637,2863,2890,2146,2071,75,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2006,charter,CSEO,5035,1637,2862,2889,2146,2071,75,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2011,charter,CSEO,8749,675,6756,6892,1857,1625,232,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2011,charter,CSEO,8749,675,6756,6918,1831,1625,206,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2012,charter,CSEO,8443,727,6108,6287,2156,1944,212,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2012,charter,CSEO,8443,727,6108,6289,2154,1944,210,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2013,charter,CSEO,12349,742,9758,9913,2436,2049,387,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
