Year,Area_CFMU,Assemblage,User,N_samps,mean_wtkg,Wt_SD,Wt_cv
2025,CSEO,Black,Unguided,187,1.287365666,0.130755694,0.101568418
2025,CSEO,DSRlessYE,Unguided,45,0.942810089,0.138738332,0.14715406
2025,CSEO,PelnBRF,Unguided,16,0.827441635,0.163778068,0.197933076
2025,CSEO,Slope,Unguided,53,1.602700825,0.294795368,0.183936617
2025,CSEO,Yelloweye,Unguided,69,3.49106248,0.596409521,0.170838971
2025,EWYKT,Black,Unguided,423,1.766827184,0.200846865,0.113676576
2025,EWYKT,DSRlessYE,Unguided,28,1.527209239,0.299900726,0.196371734
2025,EWYKT,PelnBRF,Unguided,4,1.059429213,0.200182852,0.188953495
2025,EWYKT,Yelloweye,Unguided,6,4.044359402,2.149880448,0.531575024
2025,NSEI,Black,Unguided,288,1.458328563,0.157942298,0.108303644
2025,NSEI,DSRlessYE,Unguided,124,1.158905027,0.113552541,0.097982611
2025,NSEI,PelnBRF,Unguided,338,1.03505784,0.098655921,0.095314404
2025,NSEI,Slope,Unguided,88,1.781257278,0.242759725,0.136285605
2025,NSEI,Yelloweye,Unguided,130,3.461915375,0.543884084,0.157104962
2025,NSEO,Black,Unguided,142,1.785529311,0.466054219,0.2610174
2025,NSEO,DSRlessYE,Unguided,5,1.374169783,0.61775793,0.44954993
2025,NSEO,PelnBRF,Unguided,36,1.086047358,0.344374626,0.31708988
2025,NSEO,Slope,Unguided,18,6.426648192,1.039102103,0.161686477
2025,NSEO,Yelloweye,Unguided,28,3.781420575,0.932867528,0.246697639
2025,SSEI,Black,Unguided,270,1.379317509,0.229224273,0.166186735
2025,SSEI,DSRlessYE,Unguided,289,0.984383085,0.08563367,0.08699222
2025,SSEI,PelnBRF,Unguided,165,0.861850272,0.174439274,0.202400904
2025,SSEI,Slope,Unguided,93,1.573353395,0.286876694,0.182334557
2025,SSEI,Yelloweye,Unguided,409,3.057119641,0.206073975,0.067407887
2025,SSEO,Black,Unguided,129,1.094220783,0.153352052,0.140147267
2025,SSEO,DSRlessYE,Unguided,10,1.210098565,0.170756786,0.141109816
2025,SSEO,PelnBRF,Unguided,11,0.937207135,0.266132166,0.283963017
2025,SSEO,Slope,Unguided,31,2.450020024,0.679105664,0.27718372
2025,SSEO,Yelloweye,Unguided,82,3.642122193,0.641075502,0.176017022
2025,CSEO,Black,Guided,1336,1.254830681,0.089091678,0.070998964
2025,CSEO,DSRlessYE,Guided,65,1.194027237,0.201810687,0.16901682
2025,CSEO,PelnBRF,Guided,17,0.957906996,0.146378786,0.152811063
2025,CSEO,Slope,Guided,625,3.148595347,0.344815629,0.109514114
2025,CSEO,Yelloweye,Guided,515,3.343403099,0.313613542,0.093800697
2025,EWYKT,Black,Guided,705,1.852867773,0.134525646,0.072604018
2025,EWYKT,DSRlessYE,Guided,45,1.477691947,0.346436746,0.234444498
2025,EWYKT,PelnBRF,Guided,42,1.389353255,0.350535203,0.252300991
2025,EWYKT,Slope,Guided,5,2.108803741,0.856097338,0.405963495
2025,EWYKT,Yelloweye,Guided,93,3.787614436,0.58697286,0.15497165
2025,NSEI,Black,Guided,117,1.689728842,0.422187767,0.249855336
2025,NSEI,DSRlessYE,Guided,38,1.051224069,0.147432713,0.140248609
2025,NSEI,PelnBRF,Guided,323,1.077563411,0.158198497,0.146811311
2025,NSEI,Slope,Guided,90,1.306926873,0.172249773,0.13179756
2025,NSEI,Yelloweye,Guided,65,3.805909737,1.180186764,0.310093209
2025,NSEO,Black,Guided,497,1.673387445,0.16819513,0.100511768
2025,NSEO,DSRlessYE,Guided,26,1.601212902,0.219156736,0.136869204
2025,NSEO,PelnBRF,Guided,103,0.92042014,0.119882358,0.13024743
2025,NSEO,Slope,Guided,174,5.657029345,0.776295042,0.137226625
2025,NSEO,Yelloweye,Guided,195,3.676732977,0.52156558,0.141855714
2025,SSEI,Black,Guided,708,1.385380559,0.230856572,0.166637658
2025,SSEI,DSRlessYE,Guided,236,0.954500137,0.110200731,0.115453866
2025,SSEI,PelnBRF,Guided,700,0.818423303,0.084553719,0.103312942
2025,SSEI,Slope,Guided,159,1.08636467,0.135316751,0.124559234
2025,SSEI,Yelloweye,Guided,348,3.03996196,0.375788415,0.123616157
2025,SSEO,Black,Guided,452,1.333072367,0.09997658,0.074997114
2025,SSEO,DSRlessYE,Guided,46,1.184592425,0.24514389,0.206943658
2025,SSEO,PelnBRF,Guided,115,1.001452555,0.164819686,0.164580624
2025,SSEO,Slope,Guided,198,2.08134848,0.245268601,0.117841199
2025,SSEO,Yelloweye,Guided,472,3.85305384,0.427238862,0.11088318
