Year,Rpt_Area,Assemblage,User,NumRelFish,Proportion,Var,Mrate,Mean_wt_lbs,STD_Error_mWT,Mort Rel num fish,Rel biomass lbs
2000,CSEO,Black,Charter,161,0.755868545,0.000870431,0.15,3.760326594,0.063980211,24.15,90.81188724
2000,CSEO,Black,Charter,161,0.755868545,0.000870431,0.15,3.760326594,0.063980211,24.15,90.81188724
2001,CSEO,Black,Charter,92,0.638888889,0.001613356,0.15,3.760326594,0.063980211,13.8,51.892507
2001,CSEO,Black,Charter,92,0.638888889,0.001613356,0.15,3.760326594,0.063980211,13.8,51.892507
2002,CSEO,Black,Charter,2,0.111111111,0.005809731,0.15,3.760326594,0.063980211,0.3,1.128097978
2002,CSEO,Black,Charter,2,0.111111111,0.005809731,0.15,3.760326594,0.063980211,0.3,1.128097978
2003,CSEO,Black,Charter,57,0.826086957,0.002112754,0.15,3.760326594,0.063980211,8.55,32.15079238
2003,CSEO,Black,Charter,57,0.826086957,0.002112754,0.15,3.760326594,0.063980211,8.55,32.15079238
2004,CSEO,Black,Charter,35,0.614035088,0.004232071,0.15,3.760326594,0.063980211,5.25,19.74171462
2004,CSEO,Black,Charter,35,0.614035088,0.004232071,0.15,3.760326594,0.063980211,5.25,19.74171462
2005,CSEO,Black,Charter,0,0,0,0.15,3.760326594,0.063980211,0,0
2005,CSEO,Black,Charter,0,0,0,0.15,3.760326594,0.063980211,0,0
2006,CSEO,Black,Charter,290,0.716049383,0.000503274,0.15,4.136766037,0.144565556,43.5,179.9493226
2006,CSEO,Black,Charter,290,0.716049383,0.000503274,0.15,4.136766037,0.144565556,43.5,179.9493226
2007,CSEO,Black,Charter,309,0.79028133,0.000424966,0.15,3.155388084,0.01230741,46.35,146.2522377
2007,CSEO,Black,Charter,309,0.79028133,0.000424966,0.15,3.155388084,0.01230741,46.35,146.2522377
2008,CSEO,Black,Charter,234,0.595419847,0.000614528,0.15,3.155388084,0.01230741,35.1,110.7541218
2008,CSEO,Black,Charter,234,0.595419847,0.000614528,0.15,3.155388084,0.01230741,35.1,110.7541218
2009,CSEO,Black,Charter,107,0.587912088,0.001338516,0.15,3.761208793,0.105048431,16.05,60.36740113
2009,CSEO,Black,Charter,107,0.587912088,0.001338516,0.15,3.761208793,0.105048431,16.05,60.36740113
2010,CSEO,Black,Charter,155,0.475460123,0.000767378,0.15,3.577861699,0.102316105,23.25,83.18528451
2010,CSEO,Black,Charter,155,0.475460123,0.000767378,0.15,3.577861699,0.102316105,23.25,83.18528451
2011,CSEO,Black,Charter,346,0.674463938,0.000428833,0.15,3.304450577,0.075066492,51.9,171.500985
2011,CSEO,Black,Charter,346,0.674463938,0.000428833,0.15,3.304450577,0.075066492,51.9,171.500985
2012,CSEO,Black,Charter,102,0.284122563,0.000568148,0.15,3.003254904,0.035988013,15.3,45.94980003
2012,CSEO,Black,Charter,102,0.284122563,0.000568148,0.15,3.003254904,0.035988013,15.3,45.94980003
2013,CSEO,Black,Charter,289,0.513321492,0.000444524,0.15,2.925577011,0.023554245,43.35,126.8237634
2013,CSEO,Black,Charter,289,0.513321492,0.000444524,0.15,2.925577011,0.023554245,43.35,126.8237634
2014,CSEO,Black,Charter,82,0.440860215,0.001332446,0.15,2.778978156,0.048674633,12.3,34.18143132
2014,CSEO,Black,Charter,82,0.440860215,0.001332446,0.15,2.778978156,0.048674633,12.3,34.18143132
2015,CSEO,Black,Charter,93,0.402597403,0.001045708,0.15,3.208285341,0.054052994,13.95,44.75558051
2015,CSEO,Black,Charter,93,0.402597403,0.001045708,0.15,3.208285341,0.054052994,13.95,44.75558051
2016,CSEO,Black,Charter,223,0.350628931,0.000358564,0.15,3.085584064,0.02695852,33.45,103.2127869
2016,CSEO,Black,Charter,223,0.350628931,0.000358564,0.15,3.085584064,0.02695852,33.45,103.2127869
2017,CSEO,Black,Charter,126,0.208609272,0.000273783,0.15,3.321873616,0.036259083,18.9,62.78341134
2017,CSEO,Black,Charter,126,0.208609272,0.000273783,0.15,3.321873616,0.036259083,18.9,62.78341134
2018,CSEO,Black,Charter,131,0.167091837,0.000177742,0.15,3.349925108,0.033451227,19.65,65.82602837
2018,CSEO,Black,Charter,131,0.167091837,0.000177742,0.15,3.349925108,0.033451227,19.65,65.82602837
2019,CSEO,Black,Charter,181,0.357001972,0.000453659,0.15,3.191570001,0.037777391,27.15,86.65112554
2019,CSEO,Black,Charter,181,0.357001972,0.000453659,0.15,3.191570001,0.037777391,27.15,86.65112554
2020,CSEO,Black,Charter,61,0.148780488,0.000309645,0.15,2.676542957,0.062015123,9.15,24.49036806
2020,CSEO,Black,Charter,61,0.148780488,0.000309645,0.15,2.676542957,0.062015123,9.15,24.49036806
2021,CSEO,Black,Charter,155,0.12601626,8.96145E-05,0.15,2.854825715,0.057141191,23.25,66.37469787
2021,CSEO,Black,Charter,155,0.12601626,8.96145E-05,0.15,2.854825715,0.057141191,23.25,66.37469787
2022,CSEO,Black,Charter,173,0.203529412,0.000190937,0.15,2.626586269,0.057525838,25.95,68.15991367
2022,CSEO,Black,Charter,173,0.203529412,0.000190937,0.15,2.626586269,0.057525838,25.95,68.15991367
2023,CSEO,Black,Charter,495,0.379019908,0.000180355,0.15,2.754099983,0.029843915,74.25,204.4919238
2023,CSEO,Black,Charter,495,0.379019908,0.000180355,0.15,2.754099983,0.029843915,74.25,204.4919238
2024,CSEO,Black,Charter,413,0.276624246,0.000134117,0.15,2.780468069,0.017401903,61.95,172.2499968
2024,CSEO,Black,Charter,413,0.276624246,0.000134117,0.15,2.780468069,0.017401903,61.95,172.2499968
2000,CSEO,Black,Private,28,0.7,0.005384615,0.15,3.17054714,0.079926283,4.2,13.31629799
2000,CSEO,Black,Private,28,0.7,0.005384615,0.15,3.17054714,0.079926283,4.2,13.31629799
2001,CSEO,Black,Private,62,0.601941748,0.002349097,0.15,3.17054714,0.079926283,9.3,29.4860884
2001,CSEO,Black,Private,62,0.601941748,0.002349097,0.15,3.17054714,0.079926283,9.3,29.4860884
2002,CSEO,Black,Private,18,0.642857143,0.008503401,0.15,3.17054714,0.079926283,2.7,8.560477277
2002,CSEO,Black,Private,18,0.642857143,0.008503401,0.15,3.17054714,0.079926283,2.7,8.560477277
2003,CSEO,Black,Private,6,0.375,0.015625,0.15,3.17054714,0.079926283,0.9,2.853492426
2003,CSEO,Black,Private,6,0.375,0.015625,0.15,3.17054714,0.079926283,0.9,2.853492426
2004,CSEO,Black,Private,24,1,0,0.15,3.17054714,0.079926283,3.6,11.4139697
2004,CSEO,Black,Private,24,1,0,0.15,3.17054714,0.079926283,3.6,11.4139697
2005,CSEO,Black,Private,0,0,0,0.15,3.17054714,0.079926283,0,0
2005,CSEO,Black,Private,0,0,0,0.15,3.17054714,0.079926283,0,0
2006,CSEO,Black,Private,298,0.820936639,0.000406076,0.15,3.00161089,0.025537536,44.7,134.1720068
2006,CSEO,Black,Private,298,0.820936639,0.000406076,0.15,3.00161089,0.025537536,44.7,134.1720068
2007,CSEO,Black,Private,241,0.753125,0.000582846,0.15,3.00161089,0.025537536,36.15,108.5082337
2007,CSEO,Black,Private,241,0.753125,0.000582846,0.15,3.00161089,0.025537536,36.15,108.5082337
2008,CSEO,Black,Private,166,0.584507042,0.000858157,0.15,3.00161089,0.025537536,24.9,74.74011116
2008,CSEO,Black,Private,166,0.584507042,0.000858157,0.15,3.00161089,0.025537536,24.9,74.74011116
2009,CSEO,Black,Private,203,0.789883268,0.000648311,0.15,3.543910553,0.144842978,30.45,107.9120763
2009,CSEO,Black,Private,203,0.789883268,0.000648311,0.15,3.543910553,0.144842978,30.45,107.9120763
2010,CSEO,Black,Private,219,0.638483965,0.000674919,0.15,3.199703512,0.131350497,32.85,105.1102604
2010,CSEO,Black,Private,219,0.638483965,0.000674919,0.15,3.199703512,0.131350497,32.85,105.1102604
2011,CSEO,Black,Private,120,0.784313725,0.001112932,0.15,3.41190431,0.106295936,18,61.41427758
2011,CSEO,Black,Private,120,0.784313725,0.001112932,0.15,3.41190431,0.106295936,18,61.41427758
2012,CSEO,Black,Private,178,0.687258687,0.000833078,0.15,2.902090498,0.102674768,26.7,77.48581629
2012,CSEO,Black,Private,178,0.687258687,0.000833078,0.15,2.902090498,0.102674768,26.7,77.48581629
2013,CSEO,Black,Private,117,0.596938776,0.001233861,0.15,2.845793491,0.052339288,17.55,49.94367576
2013,CSEO,Black,Private,117,0.596938776,0.001233861,0.15,2.845793491,0.052339288,17.55,49.94367576
2014,CSEO,Black,Private,105,0.402298851,0.000924825,0.15,2.809203312,0.077466607,15.75,44.24495216
2014,CSEO,Black,Private,105,0.402298851,0.000924825,0.15,2.809203312,0.077466607,15.75,44.24495216
2015,CSEO,Black,Private,12,0.203389831,0.00279349,0.15,2.936275764,0.113226607,1.8,5.285296374
2015,CSEO,Black,Private,12,0.203389831,0.00279349,0.15,2.936275764,0.113226607,1.8,5.285296374
2016,CSEO,Black,Private,133,0.352785146,0.000607255,0.15,3.125187646,0.05917558,19.95,62.34749354
2016,CSEO,Black,Private,133,0.352785146,0.000607255,0.15,3.125187646,0.05917558,19.95,62.34749354
2017,CSEO,Black,Private,32,0.283185841,0.001812425,0.15,2.946352413,0.075044054,4.8,14.14249158
2017,CSEO,Black,Private,32,0.283185841,0.001812425,0.15,2.946352413,0.075044054,4.8,14.14249158
2018,CSEO,Black,Private,88,0.380952381,0.001025338,0.15,3.041313763,0.100165282,13.2,40.14534168
2018,CSEO,Black,Private,88,0.380952381,0.001025338,0.15,3.041313763,0.100165282,13.2,40.14534168
2019,CSEO,Black,Private,129,0.556034483,0.001068659,0.15,2.937345824,0.08030289,19.35,56.8376417
2019,CSEO,Black,Private,129,0.556034483,0.001068659,0.15,2.937345824,0.08030289,19.35,56.8376417
2020,CSEO,Black,Private,43,0.313868613,0.001583493,0.15,3.184792799,0.185033562,6.45,20.54191355
2020,CSEO,Black,Private,43,0.313868613,0.001583493,0.15,3.184792799,0.185033562,6.45,20.54191355
2021,CSEO,Black,Private,107,0.336477987,0.000704292,0.15,3.00161089,0.025537536,16.05,48.17585478
2021,CSEO,Black,Private,107,0.336477987,0.000704292,0.15,3.00161089,0.025537536,16.05,48.17585478
2022,CSEO,Black,Private,135,0.441176471,0.000808327,0.15,3.189956116,0.138497358,20.25,64.59661135
2022,CSEO,Black,Private,135,0.441176471,0.000808327,0.15,3.189956116,0.138497358,20.25,64.59661135
2023,CSEO,Black,Private,157,0.451149425,0.000713584,0.15,2.603571433,0.103183848,23.55,61.31410724
2023,CSEO,Black,Private,157,0.451149425,0.000713584,0.15,2.603571433,0.103183848,23.55,61.31410724
2024,CSEO,Black,Private,107,0.29476584,0.000574251,0.15,2.631442157,0.064716312,16.05,42.23464662
2024,CSEO,Black,Private,107,0.29476584,0.000574251,0.15,2.631442157,0.064716312,16.05,42.23464662
2000,CSEO,DSRlessYE,Charter,0,-0.000586595,0,0.9,2.495776184,0.039607784,0,0
2001,CSEO,DSRlessYE,Charter,0,-0.000690667,0,0.9,2.495776184,0.039607784,0,0
2002,CSEO,DSRlessYE,Charter,0,-0.013071895,0,0.9,2.495776184,0.039607784,0,0
2003,CSEO,DSRlessYE,Charter,0,-0.001340549,0,0.9,2.495776184,0.039607784,0,0
2004,CSEO,DSRlessYE,Charter,0,-0.00385833,0,0.9,2.495776184,0.039607784,0,0
2005,CSEO,DSRlessYE,Charter,0,0,0,0.9,2.495776184,0.039607784,0,0
2006,CSEO,DSRlessYE,Charter,0,0.000160353,0,0.9,2.526219049,0.106070714,0,0
