"","Region","year","RptArea","rfharv","pelagic_harv","nonpel_harv","ye_harv","not_ye_nonpel_harv"
"1","SC",1998,"AFOGNAK",416,329,87,NA,NA
"2","SC",1998,"ALEUTIAN",214,89,125,NA,NA
"3","SC",1998,"BERING",0,0,0,0,0
"4","SC",1998,"BSAI",214,89,125,NA,NA
"5","SC",1998,"CHIGNIK",1,0,1,NA,NA
"6","SC",1998,"CI",994,723,271,NA,NA
"7","SE",1998,"CSEO",9366,4464,4902,NA,NA
"8","SC",1998,"EASTSIDE",157,75,82,NA,NA
"9","SE",1998,"EWYKT",1305,699,606,NA,NA
"10","SE",1998,"EYKT",311,209,102,NA,NA
"11","SE",1998,"IBS",994,490,504,NA,NA
"12","SC",1998,"MAINLAND",6,5,1,NA,NA
"13","SC",1998,"NG",5169,3927,1242,NA,NA
"14","SC",1998,"NORTHEAST",1488,977,511,NA,NA
"15","SE",1998,"NSEI",5285,2544,2741,NA,NA
"16","SE",1998,"NSEO",1123,601,522,NA,NA
"17","SC",1998,"PWSI",3821,2098,1723,NA,NA
"18","SC",1998,"PWSO",7091,5439,1652,NA,NA
"19","SC",1998,"SAKPEN",0,0,0,0,0
"20","SC",1998,"SKMA",27,22,5,NA,NA
"21","SC",1998,"SOKO2SAP",28,22,6,NA,NA
"22","SC",1998,"SOUTHEAST",0,0,0,0,0
"23","SC",1998,"SOUTHWEST",27,22,5,NA,NA
"24","SE",1998,"SSEI",6261,2769,3492,NA,NA
"25","SE",1998,"SSEO",3185,1462,1723,NA,NA
"26","SC",1998,"WESTSIDE",142,112,30,NA,NA
"27","SC",1998,"WKMA",148,117,31,NA,NA
"28","SC",1999,"AFOGNAK",506,419,87,NA,NA
"29","SC",1999,"ALEUTIAN",45,13,32,NA,NA
"30","SC",1999,"BERING",0,0,0,0,0
"31","SC",1999,"BSAI",45,13,32,NA,NA
"32","SC",1999,"CHIGNIK",0,0,0,0,0
"33","SC",1999,"CI",911,809,102,NA,NA
"34","SE",1999,"CSEO",9636,3836,5800,NA,NA
"35","SC",1999,"EASTSIDE",121,100,21,NA,NA
"36","SE",1999,"EWYKT",663,547,116,NA,NA
"37","SE",1999,"EYKT",27,22,5,NA,NA
"38","SE",1999,"IBS",636,525,111,NA,NA
"39","SC",1999,"MAINLAND",4,4,0,0,0
"40","SC",1999,"NG",9276,8138,1138,NA,NA
"41","SC",1999,"NORTHEAST",1866,1689,177,NA,NA
"42","SE",1999,"NSEI",6363,3857,2506,NA,NA
"43","SE",1999,"NSEO",1071,484,587,NA,NA
"44","SC",1999,"PWSI",4514,2609,1905,NA,NA
"45","SC",1999,"PWSO",4594,3253,1341,NA,NA
"46","SC",1999,"SAKPEN",0,0,0,0,0
"47","SC",1999,"SKMA",88,73,15,NA,NA
"48","SC",1999,"SOKO2SAP",88,73,15,NA,NA
"49","SC",1999,"SOUTHEAST",88,73,15,NA,NA
"50","SC",1999,"SOUTHWEST",0,0,0,0,0
"51","SE",1999,"SSEI",7370,3832,3538,NA,NA
"52","SE",1999,"SSEO",4616,1568,3048,NA,NA
"53","SC",1999,"WESTSIDE",224,219,5,NA,NA
"54","SC",1999,"WKMA",228,223,5,NA,NA
"55","SC",2000,"AFOGNAK",1412,1224,188,NA,NA
"56","SC",2000,"ALEUTIAN",61,59,2,NA,NA
"57","SC",2000,"BERING",0,0,0,0,0
"58","SC",2000,"BSAI",61,59,2,NA,NA
"59","SC",2000,"CHIGNIK",0,0,0,0,0
"60","SC",2000,"CI",1400,1225,175,NA,NA
"61","SE",2000,"CSEO",16855,5777,11078,NA,NA
"62","SC",2000,"EASTSIDE",423,380,43,NA,NA
"63","SE",2000,"EWYKT",1199,1057,142,NA,NA
"64","SE",2000,"EYKT",61,54,7,NA,NA
"65","SE",2000,"IBS",1138,1003,135,NA,NA
"66","SC",2000,"MAINLAND",26,26,0,0,0
"67","SC",2000,"NG",13107,10703,2404,NA,NA
"68","SC",2000,"NORTHEAST",2115,1865,250,NA,NA
"69","SE",2000,"NSEI",9746,5582,4164,NA,NA
"70","SE",2000,"NSEO",2883,1457,1426,NA,NA
"71","SC",2000,"PWSI",6011,3391,2620,NA,NA
"72","SC",2000,"PWSO",9244,7038,2206,NA,NA
"73","SC",2000,"SAKPEN",0,0,0,0,0
"74","SC",2000,"SKMA",65,5,60,NA,NA
"75","SC",2000,"SOKO2SAP",65,5,60,NA,NA
"76","SC",2000,"SOUTHEAST",62,2,60,NA,NA
"77","SC",2000,"SOUTHWEST",3,3,0,0,0
"78","SE",2000,"SSEI",11989,5112,6877,NA,NA
"79","SE",2000,"SSEO",6910,2150,4760,NA,NA
"80","SC",2000,"WESTSIDE",360,282,78,NA,NA
"81","SC",2000,"WKMA",386,308,78,NA,NA
"82","SC",2001,"AFOGNAK",535,477,58,NA,NA
"83","SC",2001,"ALEUTIAN",67,47,20,NA,NA
"84","SC",2001,"BERING",0,0,0,0,0
"85","SC",2001,"BSAI",67,47,20,NA,NA
"86","SC",2001,"CHIGNIK",0,0,0,0,0
"87","SC",2001,"CI",763,694,69,NA,NA
"88","SE",2001,"CSEO",15083,4037,11046,NA,NA
"89","SC",2001,"EASTSIDE",298,231,67,NA,NA
"90","SE",2001,"EWYKT",1043,891,152,NA,NA
"91","SE",2001,"EYKT",72,57,15,NA,NA
"92","SE",2001,"IBS",971,834,137,NA,NA
"93","SC",2001,"MAINLAND",1,1,0,0,0
"94","SC",2001,"NG",20907,18457,2450,NA,NA
