"Region","year","RptArea","rfharv","pelagic_harv","nonpel_harv","ye_harv","not_ye_nonpel_harv"
"SC",1998,"AFOGNAK",416,329,87,NA,NA
"SC",1998,"ALEUTIAN",214,89,125,NA,NA
"SC",1998,"BERING",0,0,0,0,0
"SC",1998,"BSAI",214,89,125,NA,NA
"SC",1998,"CHIGNIK",1,0,1,NA,NA
"SC",1998,"CI",994,723,271,NA,NA
"SE",1998,"CSEO",9366,4464,4902,NA,NA
"SC",1998,"EASTSIDE",157,75,82,NA,NA
"SE",1998,"EWYKT",1305,699,606,NA,NA
"SE",1998,"EYKT",311,209,102,NA,NA
"SE",1998,"IBS",994,490,504,NA,NA
"SC",1998,"MAINLAND",6,5,1,NA,NA
"SC",1998,"NG",5169,3927,1242,NA,NA
"SC",1998,"NORTHEAST",1488,977,511,NA,NA
"SE",1998,"NSEI",5285,2544,2741,NA,NA
"SE",1998,"NSEO",1123,601,522,NA,NA
"SC",1998,"PWSI",3821,2098,1723,NA,NA
"SC",1998,"PWSO",7091,5439,1652,NA,NA
"SC",1998,"SAKPEN",0,0,0,0,0
"SC",1998,"SKMA",27,22,5,NA,NA
"SC",1998,"SOKO2SAP",28,22,6,NA,NA
"SC",1998,"SOUTHEAST",0,0,0,0,0
"SC",1998,"SOUTHWEST",27,22,5,NA,NA
"SE",1998,"SSEI",6261,2769,3492,NA,NA
"SE",1998,"SSEO",3185,1462,1723,NA,NA
"SC",1998,"WESTSIDE",142,112,30,NA,NA
"SC",1998,"WKMA",148,117,31,NA,NA
"SC",1999,"AFOGNAK",506,419,87,NA,NA
"SC",1999,"ALEUTIAN",45,13,32,NA,NA
"SC",1999,"BERING",0,0,0,0,0
"SC",1999,"BSAI",45,13,32,NA,NA
"SC",1999,"CHIGNIK",0,0,0,0,0
"SC",1999,"CI",911,809,102,NA,NA
"SE",1999,"CSEO",9636,3836,5800,NA,NA
"SC",1999,"EASTSIDE",121,100,21,NA,NA
"SE",1999,"EWYKT",663,547,116,NA,NA
"SE",1999,"EYKT",27,22,5,NA,NA
"SE",1999,"IBS",636,525,111,NA,NA
"SC",1999,"MAINLAND",4,4,0,0,0
"SC",1999,"NG",9276,8138,1138,NA,NA
"SC",1999,"NORTHEAST",1866,1689,177,NA,NA
"SE",1999,"NSEI",6363,3857,2506,NA,NA
"SE",1999,"NSEO",1071,484,587,NA,NA
"SC",1999,"PWSI",4514,2609,1905,NA,NA
"SC",1999,"PWSO",4594,3253,1341,NA,NA
"SC",1999,"SAKPEN",0,0,0,0,0
"SC",1999,"SKMA",88,73,15,NA,NA
"SC",1999,"SOKO2SAP",88,73,15,NA,NA
"SC",1999,"SOUTHEAST",88,73,15,NA,NA
"SC",1999,"SOUTHWEST",0,0,0,0,0
"SE",1999,"SSEI",7370,3832,3538,NA,NA
"SE",1999,"SSEO",4616,1568,3048,NA,NA
"SC",1999,"WESTSIDE",224,219,5,NA,NA
"SC",1999,"WKMA",228,223,5,NA,NA
"SC",2000,"AFOGNAK",1412,1224,188,NA,NA
"SC",2000,"ALEUTIAN",61,59,2,NA,NA
"SC",2000,"BERING",0,0,0,0,0
"SC",2000,"BSAI",61,59,2,NA,NA
"SC",2000,"CHIGNIK",0,0,0,0,0
"SC",2000,"CI",1400,1225,175,NA,NA
"SE",2000,"CSEO",16855,5777,11078,NA,NA
"SC",2000,"EASTSIDE",423,380,43,NA,NA
"SE",2000,"EWYKT",1199,1057,142,NA,NA
"SE",2000,"EYKT",61,54,7,NA,NA
"SE",2000,"IBS",1138,1003,135,NA,NA
"SC",2000,"MAINLAND",26,26,0,0,0
"SC",2000,"NG",13107,10703,2404,NA,NA
"SC",2000,"NORTHEAST",2115,1865,250,NA,NA
"SE",2000,"NSEI",9746,5582,4164,NA,NA
"SE",2000,"NSEO",2883,1457,1426,NA,NA
"SC",2000,"PWSI",6011,3391,2620,NA,NA
"SC",2000,"PWSO",9244,7038,2206,NA,NA
"SC",2000,"SAKPEN",0,0,0,0,0
"SC",2000,"SKMA",65,5,60,NA,NA
"SC",2000,"SOKO2SAP",65,5,60,NA,NA
"SC",2000,"SOUTHEAST",62,2,60,NA,NA
"SC",2000,"SOUTHWEST",3,3,0,0,0
"SE",2000,"SSEI",11989,5112,6877,NA,NA
"SE",2000,"SSEO",6910,2150,4760,NA,NA
"SC",2000,"WESTSIDE",360,282,78,NA,NA
"SC",2000,"WKMA",386,308,78,NA,NA
