"Region","year","RptArea","rfrel","pelagic_rel","nonpel_rel","ye_rel","not_ye_nonpel_rel"
"SC",1999,"AFOGNAK",770,768,2,NA,NA
"SC",1999,"ALEUTIAN",92,92,0,0,0
"SC",1999,"BERING",0,0,0,0,0
"SC",1999,"CHIGNIK",0,0,0,0,0
"SC",1999,"CI",621,523,98,NA,NA
"SE",1999,"CSEO",8490,7112,1378,NA,NA
"SC",1999,"EASTSIDE",434,301,133,NA,NA
"SE",1999,"EWYKT",195,187,8,NA,NA
"SE",1999,"EYKT",5,5,0,0,0
"SE",1999,"IBS",190,182,8,NA,NA
"SC",1999,"MAINLAND",53,48,5,NA,NA
"SC",1999,"NG",3209,3084,125,NA,NA
"SC",1999,"NORTHEAST",1736,1626,110,NA,NA
"SE",1999,"NSEI",6691,5046,1645,NA,NA
"SE",1999,"NSEO",1134,898,236,NA,NA
"SC",1999,"PWSI",1069,926,143,NA,NA
"SC",1999,"PWSO",748,689,59,NA,NA
"SC",1999,"SAKPEN",0,0,0,0,0
"SC",1999,"SKMA",128,128,0,0,0
"SC",1999,"SOUTHEAST",128,128,0,0,0
"SC",1999,"SOUTHWEST",0,0,0,0,0
"SE",1999,"SSEI",6832,4335,2497,NA,NA
"SE",1999,"SSEO",4102,2963,1139,NA,NA
"SC",1999,"WESTSIDE",262,174,88,NA,NA
"SC",1999,"WKMA",315,222,93,NA,NA
"SC",2000,"AFOGNAK",2000,1949,51,NA,NA
"SC",2000,"ALEUTIAN",67,64,3,NA,NA
"SC",2000,"BERING",0,0,0,0,0
"SC",2000,"CHIGNIK",0,0,0,0,0
"SC",2000,"CI",774,657,117,NA,NA
"SE",2000,"CSEO",6035,4890,1145,NA,NA
"SC",2000,"EASTSIDE",1194,1035,159,NA,NA
"SE",2000,"EWYKT",361,339,22,NA,NA
"SE",2000,"EYKT",32,32,0,0,0
"SE",2000,"IBS",329,307,22,NA,NA
"SC",2000,"MAINLAND",20,20,0,0,0
"SC",2000,"NG",6487,5410,1077,NA,NA
"SC",2000,"NORTHEAST",2051,1877,174,NA,NA
"SE",2000,"NSEI",7565,5401,2164,NA,NA
"SE",2000,"NSEO",2094,1630,464,NA,NA
"SC",2000,"PWSI",913,787,126,NA,NA
"SC",2000,"PWSO",1756,1670,86,NA,NA
"SC",2000,"SAKPEN",0,0,0,0,0
"SC",2000,"SKMA",101,76,25,NA,NA
"SC",2000,"SOUTHEAST",71,59,12,NA,NA
"SC",2000,"SOUTHWEST",30,17,13,NA,NA
"SE",2000,"SSEI",9811,5405,4406,NA,NA
"SE",2000,"SSEO",4468,2830,1638,NA,NA
"SC",2000,"WESTSIDE",416,265,151,NA,NA
"SC",2000,"WKMA",436,285,151,NA,NA
"SC",2001,"AFOGNAK",910,853,57,NA,NA
"SC",2001,"ALEUTIAN",178,178,0,0,0
"SC",2001,"BERING",0,0,0,0,0
"SC",2001,"CHIGNIK",0,0,0,0,0
"SC",2001,"CI",730,623,107,NA,NA
"SE",2001,"CSEO",5594,4504,1090,NA,NA
"SC",2001,"EASTSIDE",548,385,163,NA,NA
"SE",2001,"EWYKT",631,578,53,NA,NA
"SE",2001,"EYKT",67,67,0,0,0
"SE",2001,"IBS",564,511,53,NA,NA
"SC",2001,"MAINLAND",5,5,0,0,0
"SC",2001,"NG",5305,5021,284,NA,NA
"SC",2001,"NORTHEAST",1891,1787,104,NA,NA
"SE",2001,"NSEI",5344,4017,1327,NA,NA
"SE",2001,"NSEO",1662,1292,370,NA,NA
"SC",2001,"PWSI",1120,889,231,NA,NA
"SC",2001,"PWSO",1756,1662,94,NA,NA
"SC",2001,"SAKPEN",0,0,0,0,0
"SC",2001,"SKMA",43,19,24,NA,NA
"SC",2001,"SOUTHEAST",43,19,24,NA,NA
"SC",2001,"SOUTHWEST",0,0,0,0,0
"SE",2001,"SSEI",8166,4411,3755,NA,NA
"SE",2001,"SSEO",3276,2016,1260,NA,NA
"SC",2001,"WESTSIDE",427,265,162,NA,NA
"SC",2001,"WKMA",432,270,162,NA,NA
"SC",2002,"AFOGNAK",708,696,12,NA,NA
"SC",2002,"ALEUTIAN",229,222,7,NA,NA
"SC",2002,"BERING",75,75,0,0,0
"SC",2002,"CHIGNIK",0,0,0,0,0
"SC",2002,"CI",1636,1501,135,NA,NA
"SE",2002,"CSEO",6354,5038,1316,NA,NA
"SC",2002,"EASTSIDE",736,695,41,NA,NA
"SE",2002,"EWYKT",810,769,41,NA,NA
"SE",2002,"EYKT",51,51,0,0,0
"SE",2002,"IBS",759,718,41,NA,NA
"SC",2002,"MAINLAND",136,136,0,0,0
"SC",2002,"NG",3882,3608,274,NA,NA
"SC",2002,"NORTHEAST",1913,1782,131,NA,NA
"SE",2002,"NSEI",5038,3909,1129,NA,NA
"SE",2002,"NSEO",2182,1802,380,NA,NA
"SC",2002,"PWSI",1080,922,158,NA,NA
"SC",2002,"PWSO",1719,1543,176,NA,NA
"SC",2002,"SAKPEN",0,0,0,0,0
"SC",2002,"SKMA",62,62,0,0,0
"SC",2002,"SOUTHEAST",62,62,0,0,0
"SC",2002,"SOUTHWEST",0,0,0,0,0
"SE",2002,"SSEI",8332,4808,3524,NA,NA
"SE",2002,"SSEO",5386,3603,1783,NA,NA
"SC",2002,"WESTSIDE",275,164,111,NA,NA
"SC",2002,"WKMA",411,300,111,NA,NA
"SC",2003,"AFOGNAK",818,776,42,NA,NA
"SC",2003,"ALEUTIAN",179,179,0,0,0
"SC",2003,"BERING",0,0,0,0,0
"SC",2003,"CHIGNIK",0,0,0,0,0
"SC",2003,"CI",3266,2929,337,NA,NA
"SE",2003,"CSEO",8201,6652,1549,NA,NA
"SC",2003,"EASTSIDE",878,834,44,NA,NA
"SE",2003,"EWYKT",789,653,136,NA,NA
"SE",2003,"EYKT",276,241,35,NA,NA
"SE",2003,"IBS",513,412,101,NA,NA
"SC",2003,"MAINLAND",139,139,0,0,0
"SC",2003,"NG",4229,3621,608,NA,NA
"SC",2003,"NORTHEAST",3121,3026,95,NA,NA
"SE",2003,"NSEI",6124,4702,1422,NA,NA
"SE",2003,"NSEO",2025,1623,402,NA,NA
"SC",2003,"PWSI",1926,1610,316,NA,NA
"SC",2003,"PWSO",1548,1372,176,NA,NA
"SC",2003,"SAKPEN",0,0,0,0,0
"SC",2003,"SKMA",137,137,0,0,0
"SC",2003,"SOUTHEAST",81,81,0,0,0
"SC",2003,"SOUTHWEST",56,56,0,0,0
"SE",2003,"SSEI",8078,4622,3456,NA,NA
"SE",2003,"SSEO",4577,2860,1717,NA,NA
"SC",2003,"WESTSIDE",510,456,54,NA,NA
"SC",2003,"WKMA",649,595,54,NA,NA
"SC",2004,"AFOGNAK",758,641,117,NA,NA
"SC",2004,"ALEUTIAN",17,17,0,0,0
"SC",2004,"BERING",0,0,0,0,0
"SC",2004,"CHIGNIK",140,120,20,NA,NA
"SC",2004,"CI",3521,3381,140,NA,NA
"SE",2004,"CSEO",7046,5841,1205,NA,NA
"SC",2004,"EASTSIDE",453,420,33,NA,NA
"SE",2004,"EWYKT",769,706,63,NA,NA
"SE",2004,"EYKT",21,20,1,NA,NA
"SE",2004,"IBS",748,686,62,NA,NA
"SC",2004,"MAINLAND",33,18,15,NA,NA
"SC",2004,"NG",4972,4578,394,NA,NA
"SC",2004,"NORTHEAST",1756,1598,158,NA,NA
"SE",2004,"NSEI",4849,3725,1124,NA,NA
"SE",2004,"NSEO",2356,1928,428,NA,NA
"SC",2004,"PWSI",1703,1434,269,NA,NA
"SC",2004,"PWSO",1830,1662,168,NA,NA
"SC",2004,"SAKPEN",0,0,0,0,0
"SC",2004,"SKMA",26,25,1,NA,NA
"SC",2004,"SOUTHEAST",17,17,0,0,0
"SC",2004,"SOUTHWEST",9,8,1,NA,NA
"SE",2004,"SSEI",6002,3161,2841,NA,NA
"SE",2004,"SSEO",4886,3297,1589,NA,NA
"SC",2004,"WESTSIDE",285,240,45,NA,NA
"SC",2004,"WKMA",318,258,60,NA,NA
"SC",2005,"AFOGNAK",1426,1375,51,NA,NA
"SC",2005,"ALEUTIAN",0,0,0,0,0
"SC",2005,"BERING",0,0,0,0,0
"SC",2005,"CHIGNIK",305,305,0,0,0
"SC",2005,"CI",2204,2101,103,NA,NA
"SE",2005,"CSEO",8114,6379,1735,NA,NA
"SC",2005,"EASTSIDE",744,697,47,NA,NA
"SE",2005,"EWYKT",686,649,37,NA,NA
"SE",2005,"EYKT",32,15,17,NA,NA
"SE",2005,"IBS",654,634,20,NA,NA
"SC",2005,"MAINLAND",16,14,2,NA,NA
"SC",2005,"NG",4991,4462,529,NA,NA
"SC",2005,"NORTHEAST",4080,3881,199,NA,NA
"SE",2005,"NSEI",6055,4750,1305,NA,NA
"SE",2005,"NSEO",2502,2028,474,NA,NA
"SC",2005,"PWSI",2399,2068,331,NA,NA
"SC",2005,"PWSO",1432,1329,103,NA,NA
"SC",2005,"SAKPEN",0,0,0,0,0
"SC",2005,"SKMA",112,108,4,NA,NA
"SC",2005,"SOUTHEAST",112,108,4,NA,NA
"SC",2005,"SOUTHWEST",0,0,0,0,0
"SE",2005,"SSEI",9401,4727,4674,NA,NA
"SE",2005,"SSEO",6899,4850,2049,NA,NA
"SC",2005,"WESTSIDE",405,373,32,NA,NA
"SC",2005,"WKMA",421,387,34,NA,NA
"SC",2006,"AFOGNAK",842,806,36,14,22
"SC",2006,"ALEUTIAN",0,0,0,0,0
"SC",2006,"BERING",0,0,0,0,0
"SC",2006,"CHIGNIK",169,169,0,0,0
"SC",2006,"CI",1504,1399,105,10,95
"SE",2006,"CSEO",5240,4055,1185,677,508
"SC",2006,"EASTSIDE",822,795,27,4,23
"SE",2006,"EWYKT",448,422,26,9,17
"SE",2006,"EYKT",42,35,7,7,0
"SE",2006,"IBS",406,387,19,2,17
"SC",2006,"MAINLAND",224,224,0,0,0
"SC",2006,"NG",3683,3243,440,149,291
"SC",2006,"NORTHEAST",1667,1605,62,0,62
"SE",2006,"NSEI",4774,3633,1141,122,1019
"SE",2006,"NSEO",1591,1408,183,126,57
"SC",2006,"PWSI",974,731,243,93,150
"SC",2006,"PWSO",1336,1123,213,166,47
"SC",2006,"SAKPEN",0,0,0,0,0
"SC",2006,"SKMA",80,77,3,1,2
"SC",2006,"SOUTHEAST",78,77,1,1,0
"SC",2006,"SOUTHWEST",2,0,2,0,2
"SE",2006,"SSEI",6626,3549,3077,354,2723
"SE",2006,"SSEO",2288,1550,738,222,516
"SC",2006,"WESTSIDE",323,291,32,19,13
"SC",2006,"WKMA",547,515,32,19,13
"SC",2007,"AFOGNAK",2835,2759,76,8,68
"SC",2007,"ALEUTIAN",4,4,0,0,0
"SC",2007,"BERING",0,0,0,0,0
"SC",2007,"CHIGNIK",448,448,0,0,0
"SC",2007,"CI",1262,1226,36,3,33
"SE",2007,"CSEO",5145,4075,1070,678,392
"SC",2007,"EASTSIDE",2661,2611,50,0,50
"SE",2007,"EWYKT",293,270,23,7,16
"SE",2007,"EYKT",111,92,19,7,12
"SE",2007,"IBS",182,178,4,0,4
"SC",2007,"MAINLAND",101,101,0,0,0
"SC",2007,"NG",3175,2816,359,94,265
"SC",2007,"NORTHEAST",1731,1552,179,24,155
"SE",2007,"NSEI",2342,1890,452,100,352
"SE",2007,"NSEO",1002,823,179,73,106
"SC",2007,"PWSI",2121,1791,330,77,253
"SC",2007,"PWSO",925,678,247,217,30
"SC",2007,"SAKPEN",0,0,0,0,0
"SC",2007,"SKMA",474,455,19,2,17
"SC",2007,"SOUTHEAST",474,455,19,2,17
"SC",2007,"SOUTHWEST",0,0,0,0,0
"SE",2007,"SSEI",3895,1963,1932,301,1631
"SE",2007,"SSEO",2461,1367,1094,194,900
"SC",2007,"WESTSIDE",295,248,47,23,24
"SC",2007,"WKMA",396,349,47,23,24
"SC",2008,"AFOGNAK",1487,1449,38,11,27
"SC",2008,"ALEUTIAN",48,48,0,0,0
"SC",2008,"BERING",0,0,0,0,0
"SC",2008,"CHIGNIK",287,287,0,0,0
"SC",2008,"CI",737,689,48,12,36
"SE",2008,"CSEO",4496,3377,1119,561,558
"SC",2008,"EASTSIDE",902,786,116,5,111
